Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"David Krejci","Boston","Center","80","19","50","69","1247","1117","130","-1.9","-1.9","63","24","43","32","5250000"
"Shawn Thornton","Boston","Left Wing","64","5","3","8","446","486","-40","-7.5","-12.3","3","-71","28","-5","1100000"
"Loui Eriksson","Boston","Right Wing","61","10","27","37","784","556","228","4.8","7.6","95","77","56","79","4250000"
"Adam McQuaid","Boston","Defense","30","1","5","6","365","359","6","-2.6","-4.3","3","-5","8","7","1566667"
"Brad Marchand","Boston","Left Wing","82","25","28","53","1180","797","383","8","15.6","155","136","92","145","4500000"
"Matt Bartkowski","Boston","Defense","64","0","18","18","1056","931","125","-1.6","-2","98","-17","44","52","650000"
"Kevan Miller","Boston","Defense","47","1","5","6","615","590","25","-5.5","-9.2","10","-10","25","40","366667"
"Dennis Seidenberg","Boston","Defense","34","1","9","10","581","588","-7","-5.3","-8.6","-19","7","5","0","3250000"
"Daniel Paille","Boston","Left Wing","72","9","9","18","530","575","-45","-7.5","-12.4","11","-77","21","-28","1300000"
"Chris Kelly","Boston","Center","57","9","9","18","602","568","34","-4.1","-6.6","36","-7","5","22","3000000"
"Jarome Iginla","Boston","Right Wing","78","30","31","61","1209","1045","164","-0.4","0.9","75","33","56","32","1800000"
"Torey Krug","Boston","Defense","79","14","26","40","1168","932","236","2.3","5.2","84","98","54","96","916667"
"Reilly Smith","Boston","Right Wing","82","20","31","51","1070","763","307","6.1","12.3","120","119","68","143","900000"
"Milan Lucic","Boston","Left Wing","80","24","35","59","1201","1037","164","-0.4","1.1","64","38","62","59","6000000"
"Andrej Meszaros","Boston","Defense","52","7","15","22","177","211","-34","-8.7","-13.7","5","-36","-3","-6","410256"
"Carl Soderberg","Boston","Center","73","16","32","48","797","715","82","-1.1","-1.3","36","15","31","73","1008333"
"Zdeno Chara","Boston","Defense","77","17","23","40","1365","1109","256","1.7","2.1","107","66","83","115","6916667"
"Johnny Boychuk","Boston","Defense","75","5","18","23","1310","1069","241","1.3","3.1","164","4","73","105","3366667"
"Jordan Caron","Boston","Right Wing","35","1","2","3","305","320","-15","-5","-8.4","9","-26","2","1","640000"
"Patrice Bergeron","Boston","Center","80","30","32","62","1151","733","418","9.5","15.4","164","162","92","143","5000000"
"Dougie Hamilton","Boston","Defense","64","7","18","25","990","772","218","3.4","6.7","75","74","69","49","894166"
"Gregory Campbell","Boston","Center","82","8","13","21","629","752","-123","-10.3","-17.6","-15","-119","11","-22","1600000"
