Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Boyd Gordon","Edmonton","Center","74","8","13","21","588","807","-219","-2.3","-3","-77","-93","-49","-93","3000000"
"Ryan Jones","Edmonton","Left Wing","52","2","4","6","339","459","-120","-2.4","-6.1","-70","-31","-19","-40","1433590"
"Justin Schultz","Edmonton","Defense","74","11","22","33","1036","1381","-345","-2.5","-5","-124","-131","-90","-186","925000"
"Luke Gazdic","Edmonton","Left Wing","67","2","2","4","246","420","-174","-8.2","-18.9","-62","-45","-67","-61","635000"
"Ladislav Smid","Edmonton","Defense","73","2","6","8","180","239","-59","-5.4","-9.6","-27","-14","-18","-24","2817949"
"Taylor Hall","Edmonton","Left Wing","75","27","53","80","963","1203","-240","0.5","0.4","-77","-72","-91","-75","6000000"
"Sam Gagner","Edmonton","Center","67","10","27","37","792","1001","-209","-0.1","-1.2","-38","-92","-79","-97","4800000"
"Ryan Nugent-Hopkins","Edmonton","Center","80","19","37","56","1011","1241","-230","1","1.5","-107","-43","-80","-84","925000"
"David Perron","Edmonton","Left Wing","78","28","29","57","965","1147","-182","2.5","3.7","-81","-72","-29","-100","3812500"
"Anton Belov","Edmonton","Defense","57","1","6","7","667","771","-104","2.8","3.4","-21","-40","-43","-64","920256"
"Philip Larsen","Edmonton","Defense","30","3","9","12","318","428","-110","-0.7","-1.8","-39","-25","-46","-16","892179"
"Mark Fraser","Edmonton","Defense","42","1","1","2","252","331","-79","-0.6","-3.3","-10","-37","-32","-34","477308"
"Nail Yakupov","Edmonton","Right Wing","63","11","13","24","625","773","-148","0.6","-0.9","-32","-46","-70","-63","925000"
"Jordan Eberle","Edmonton","Right Wing","80","28","37","65","1050","1219","-169","2.9","4.5","-60","-45","-64","-87","6000000"
"Matt Hendricks","Edmonton","Left Wing","77","5","2","7","243","353","-110","-2.7","-3","-31","-61","-18","-54","844359"
"Andrew Ference","Edmonton","Defense","71","3","15","18","964","1283","-319","-3","-6.8","-141","-79","-99","-110","3250000"
"Jeff Petry","Edmonton","Defense","80","7","10","17","1134","1290","-156","3.8","5.6","-47","-64","-45","-61","1750000"
"Ryan Smyth","Edmonton","Left Wing","72","10","13","23","637","766","-129","1.8","4","-50","-66","-13","-64","2250000"
"Jesse Joensuu","Edmonton","Left Wing","42","3","2","5","287","369","-82","-0.3","-3.6","-13","-26","-43","-46","950000"
"Nick Schultz","Edmonton","Defense","69","0","5","5","618","893","-275","-5.2","-10.2","-110","-99","-66","-79","358974"
