Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Matt Cullen","Nashville","Center","77","10","29","39","880","860","20","3.1","5","-10","-7","37","45","3500000"
"Matt Hendricks","Nashville","Left Wing","77","5","2","7","261","352","-91","-6.6","-9.7","-41","-22","-28","-8","844359"
"Patric Hornqvist","Nashville","Right Wing","76","22","31","53","1003","960","43","3.3","5","14","-35","64","36","4250000"
"Roman Josi","Nashville","Defense","72","13","27","40","1270","1334","-64","0.5","0","-31","-104","71","-8","4000000"
"David Legwand","Nashville","Center","83","14","37","51","757","773","-16","1.5","2.1","29","-66","21","-14","923077"
"Craig Smith","Nashville","Center","79","24","28","52","972","955","17","2.7","3.8","36","-34","15","26","2000000"
"Shea Weber","Nashville","Defense","79","23","33","56","1398","1514","-116","-0.7","-1.3","-35","-125","44","-11","7857143"
"Victor Bartley","Nashville","Defense","50","1","5","6","511","637","-126","-4.4","-8.8","-23","-62","-41","-3","666667"
"Mattias Ekholm","Nashville","Defense","62","1","8","9","761","756","5","1.3","1.3","14","-35","26","21","900000"
"Michael Del Zotto","Nashville","Defense","67","3","13","16","325","335","-10","-2.8","-4.5","17","-24","-3","-8","1072308"
"Viktor Stalberg","Nashville","Left Wing","70","8","10","18","708","741","-33","0.5","-0.3","26","-81","22","-29","3000000"
"Eric Nystrom","Nashville","Left Wing","79","15","6","21","790","923","-133","-3.4","-6.8","-8","-96","-29","6","2500000"
"Rich Clune","Nashville","Left Wing","58","3","4","7","334","375","-41","-1","-2","3","-51","7","-16","537500"
"Colin Wilson","Nashville","Center","81","11","22","33","941","999","-58","-0.1","-0.8","-2","-41","-15","13","2000000"
"Paul Gaustad","Nashville","Center","75","10","11","21","582","722","-140","-4.8","-7.1","-38","-96","-6","-25","3250000"
"Nick Spaling","Nashville","Center","71","13","19","32","736","885","-149","-3.1","-5.9","-42","-96","-11","-58","1500000"
"Mike Fisher","Nashville","Center","75","20","29","49","923","1066","-143","-3.4","-5.8","-22","-109","-12","-16","4200000"
"Seth Jones","Nashville","Defense","77","6","19","25","1026","1042","-16","2.1","3.4","23","-51","12","57","925000"
"Gabriel Bourque","Nashville","Left Wing","74","9","17","26","879","800","79","5.3","8.6","44","18","17","64","775000"
"Patrick Eaves","Nashville","Right Wing","30","2","3","5","39","32","7","4.9","8.6","3","2","2","3","246154"
"Ryan Ellis","Nashville","Defense","80","6","21","27","957","944","13","2.6","3.6","47","-36","2","-8","840000"
