Position,2014 Cap Dollars
"Kenneth Agostino","$121,333"
"Mikael Backlund","$1,500,000"
"Bill Arnold","$13,654"
"T.J. Brodie","$2,125,000"
"Matt Stajan","$3,500,000"
"Markus Granlund","$204,667"
"Kevin Westgarth","$390,385"
"Lance Bouma","$577,500"
"T.J. Galiardi","$1,250,000"
"Paul Byron","$452,100"
"Jiri Hudler","$4,000,000"
"Michael Cammalleri","$6,000,000"
"Chris Butler","$1,700,000"
"Sean Monahan","$925,000"
"Johnny Gaudreau","$14,231"
"David Jones","$4,000,000"
"Dennis Wideman","$5,250,000"
"Brian McGrattan","$750,000"
"Christopher Breen","$296,154"
"Bryce Van Brabant","$74,872"
"Kris Russell","$1,500,000"
"Ladislav Smid","$2,817,949"
"Joe Colborne","$600,000"
"Karri Ramo","$2,750,000"
"Joey MacDonald","$346,282"
"Curtis Glencross","$2,550,000"
"Mark Giordano","$4,020,000"
