Position,2014 Cap Dollars
"Brandon Bollig","$575,000"
"Niklas Hjalmarsson","$3,500,000"
"Bryan Bickell","$4,000,000"
"John Oduya","$3,375,000"
"Brandon Saad","$764,167"
"Marcus Kruger","$1,325,000"
"Jeremey Morin","$237,462"
"Antti Raanta","$702,051"
"Corey Crawford","$2,666,667"
"Patrick Kane","$6,300,000"
"Duncan Keith","$5,538,462"
"Nick Leddy","$2,700,000"
"Marian Hossa","$5,275,000"
"Matt Carey","$109,103"
"Michal Rozsival","$2,200,000"
"Peter Regin","$126,923"
"Jonathan Toews","$6,300,000"
"Kris Versteeg","$1,692,308"
"Andrew Shaw","$577,500"
"Patrick Sharp","$5,900,000"
"David Rundblad","$165,051"
"Michal Handzus","$1,000,000"
"Sheldon Brookbank","$1,250,000"
"Ben Smith","$562,500"
"Brent Seabrook","$5,800,000"
