Position,2014 Cap Dollars
"Semyon Varlamov","$2,833,333"
"Alex Tanguay","$3,500,000"
"Andre Benoit","$900,000"
"Nate Guenin","$600,000"
"Ryan Wilson","$2,250,000"
"Nathan MacKinnon","$925,000"
"Tyson Barrie","$667,333"
"Matt Duchene","$3,500,000"
"Erik Johnson","$3,750,000"
"Paul Carey","$114,231"
"John Mitchell","$1,100,000"
"Cory Sarich","$2,000,000"
"Cody McLeod","$1,150,000"
"Jan Hejda","$3,250,000"
"Brad Malone","$373,154"
"Jamie McGinn","$1,750,000"
"Marc-Andre Cliche","$537,500"
"Pierre-Alexandre Parenteau","$4,000,000"
"Sami Aittokallio","$290,855"
"Nick Holden","$600,000"
"Ryan O'Reilly","$5,000,000"
"Patrick Bordeleau","$1,000,000"
"Stefan Elliott","$8,650"
"Paul Stastny","$6,600,000"
"Gabriel Landeskog","$925,000"
"Jean-Sebastien Giguere","$1,500,000"
"Maxime Talbot","$1,480,769"
"Reto Berra","$174,359"
