Position,2014 Cap Dollars
"Brenden Dillon","$743,333"
"Shawn Horcoff","$5,500,000"
"Dustin Jeffrey","$310,897"
"Jordie Benn","$700,000"
"Rich Peverley","$3,250,000"
"Patrik Nemeth","$54,803"
"DDefenseman","$16,510,315"
"Antoine Roussel","$612,500"
"Aaron Rome","$1,428,846"
"Kari Lehtonen","$5,900,000"
"LWLeft Wing","$15,437,500"
"RWRight Wing","$1,887,052"
"Alex Goligoski","$4,600,000"
"Ray Whitney","$4,500,000"
"Tyler Seguin","$5,750,000"
"FForward","$34,674,381"
"Chris Mueller","$95,385"
"Trevor Daley","$3,300,000"
"GGoaltender","$6,412,821"
"Cody Eakin","$572,778"
"Jamie Benn","$5,250,000"
"Tim Thomas","$512,821"
"Alex Chiasson","$866,667"
"Valeri Nichushkin","$925,000"
"Colton Sceviour","$166,154"
"Erik Cole","$4,500,000"
"Ryan Garbutt","$575,000"
"Vernon Fiddler","$1,800,000"
"CCenter","$17,349,829"
"Sergei Gonchar","$5,000,000"
"Kevin Connauton","$683,333"
