Pos.Position,2014 Cap Dollars
"Matt Carle","$5,500,000"
"Teddy Purcell","$4,500,000"
"Richard Panik","$588,205"
"Alexander Killorn","$875,000"
"J.T. Brown","$685,852"
"Keith Aulie","$975,000"
"Brian Lee","$1,150,000"
"Kristers Gudlevskis","$84,231"
"DDefenseman","$21,566,667"
"GGoaltender","$4,184,231"
"Mark Barberio","$605,000"
"Victor Hedman","$4,000,000"
"CCenter","$15,655,898"
"Ben Bishop","$2,300,000"
"Tyler Johnson","$756,667"
"RWRight Wing","$3,815,570"
"Valtteri Filppula","$5,000,000"
"Mike Kostka","$160,256"
"Ryan Malone","$4,500,000"
"Brandon Crombeen","$1,150,000"
"Radko Gudas","$991,667"
"Ondrej Palat","$576,197"
"Andrej Sustr","$559,744"
"Sami Salo","$3,750,000"
"Nikita Kucherov","$514,590"
"Ryan Callahan","$876,923"
"Nate Thompson","$1,600,000"
"Tom Pyatt","$600,000"
"FForward","$29,922,665"
"LWLeft Wing","$10,451,197"
"Anders Lindback","$1,800,000"
"Eric Brewer","$3,875,000"
"Steven Stamkos","$7,500,000"
"Cody Kunyk","$199,231"
