Pos.Position,2014 Cap Dollars
"Chris Tanev","$1,500,000"
"Zack Kassian","$870,000"
"Zac Dalpe","$550,000"
"Andrew Alberts","$600,000"
"Alexander Edler","$5,000,000"
"Mike Santorelli","$550,000"
"Dan Hamhuis","$4,500,000"
"Yannick Weber","$586,667"
"Henrik Sedin","$6,100,000"
"Christopher Higgins","$2,500,000"
"Jacob Markstrom","$252,308"
"Alexandre Burrows","$4,500,000"
"GGoaltender","$1,002,308"
"FForward","$34,961,021"
"Tom Sestito","$750,000"
"RWRight Wing","$8,596,021"
"Brad Richardson","$1,150,000"
"Nicklas Jensen","$176,021"
"Eddie Lack","$750,000"
"Ryan Stanton","$550,000"
"Jannik Hansen","$1,350,000"
"David Booth","$4,250,000"
"CCenter","$12,250,000"
"DDefenseman","$22,039,733"
"LWLeft Wing","$14,115,000"
"Kevin Bieksa","$4,600,000"
"Frank Corrado","$103,066"
"Shawn Matthias","$367,949"
"Jason Garrison","$4,600,000"
"Ryan Kesler","$5,000,000"
"Michael Zalewski","$147,051"
"Daniel Sedin","$6,100,000"
"Jordan Schroeder","$600,000"
