Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Olli Jokinen","Winnipeg","Center","82","18","25","43","1060","1092","-32","-1.1","-1.4","-16","-26","10","-51","4500000"
"Eric Tangradi","Winnipeg","Left Wing","55","3","3","6","427","367","60","4","7.6","30","10","20","-7","675000"
"Michael Frolik","Winnipeg","Right Wing","81","15","27","42","1168","1040","128","4.2","7.7","15","40","73","32","2333333"
"Jacob Trouba","Winnipeg","Defense","65","10","19","29","1035","1077","-42","-0.9","-1.7","-27","-51","36","-24","894167"
"Toby Enstrom","Winnipeg","Defense","82","10","20","30","1290","1263","27","0.7","0.8","-5","-45","77","-24","5750000"
"Dustin Byfuglien","Winnipeg","Defense","78","20","36","56","1252","1228","24","0.9","0.8","9","-19","34","-20","5200000"
"Chris Thorburn","Winnipeg","Right Wing","55","2","9","11","354","462","-108","-7.1","-13.2","-57","-47","-4","-58","866667"
"Keaton Ellerby","Winnipeg","Defense","51","2","4","6","583","632","-49","-2.3","-4.1","-28","-18","-3","30","614385"
"Anthony Peluso","Winnipeg","Right Wing","53","2","3","5","215","256","-41","-6.3","-11","-5","-13","-23","-23","562500"
"Jim Slater","Winnipeg","Center","27","1","1","2","200","203","-3","-1.3","-1.6","-7","-6","10","-11","1600000"
"Grant Clitsome","Winnipeg","Defense","32","2","10","12","520","483","37","3.6","5.5","-1","13","25","9","2066667"
"Andrew Ladd","Winnipeg","Left Wing","78","23","31","54","1115","991","124","4.4","6.8","13","22","89","56","4400000"
"Evander Kane","Winnipeg","Left Wing","63","19","22","41","966","904","62","3.2","4.9","44","-30","48","21","5250000"
"Zach Bogosian","Winnipeg","Defense","55","3","8","11","923","948","-25","-0.8","-1.2","-54","-1","30","-30","5142857"
"Matt Halischuk","Winnipeg","Right Wing","46","5","5","10","372","471","-99","-7.2","-13.4","-49","-38","-12","-31","650000"
"Bryan Little","Winnipeg","Center","82","23","41","64","1187","1053","134","4.2","6.9","20","18","96","67","4700000"
"Paul Postma","Winnipeg","Defense","20","1","2","3","238","264","-26","-8.1","-13.8","-4","-17","-5","-44","712500"
"Adam Pardy","Winnipeg","Defense","60","0","6","6","735","634","101","3.8","7","35","39","27","37","560000"
"James Wright","Winnipeg","Center","59","0","2","2","326","358","-32","-2.6","-3.4","3","-38","3","4","650000"
"Mark Scheifele","Winnipeg","Center","63","13","21","34","789","839","-50","-1.5","-2.9","-39","-39","28","-30","863333"
"Mark Stuart","Winnipeg","Defense","69","2","11","13","987","1082","-95","-2.4","-4.4","-36","-57","-2","-48","1700000"
"Blake Wheeler","Winnipeg","Right Wing","82","28","41","69","1102","1104","-2","-0.2","-0.1","-18","-25","41","-1","5600000"
"Devin Setoguchi","Winnipeg","Right Wing","75","11","16","27","893","930","-37","-1.4","-2","-40","-22","25","-32","3000000"
