Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Michael Bournival","Montreal","L","60","7","7","14","453","576","-123","-2.5","-6.9","-24","-83","-16","-16"
"Josh Gorges","Montreal","D","66","1","13","14","898","1091","-193","-2.3","-4.3","-61","-110","-22","-87"
"Andrei Markov","Montreal","D","81","7","36","43","1329","1356","-27","4.4","8.2","11","-64","26","-12"
"Alex Galchenyuk","Montreal","C","65","13","18","31","728","809","-81","0.6","-0.2","9","-106","16","-33"
"Brian Gionta","Montreal","R","81","18","22","40","941","1135","-194","-1.8","-4.1","-62","-122","-10","-53"
"Travis Moen","Montreal","L","65","2","10","12","454","538","-84","-2","-3.7","-5","-40","-39","-18"
"Lars Eller","Montreal","C","77","12","14","26","903","975","-72","1.7","2.5","10","-106","24","-27"
"Mike Weaver","Montreal","D","72","1","12","13","185","246","-61","-4.3","-8.3","-12","-42","-7","-32"
"David Desharnais","Montreal","C","79","16","36","52","1047","1032","15","4.8","7.7","-27","0","42","7"
"Dale Weise","Montreal","R","61","6","10","16","123","154","-31","-3.2","-6.8","2","-15","-18","-6"
"George Parros","Montreal","R","22","0","1","1","47","128","-81","-21.7","-46.6","-21","-38","-22","-25"
"Thomas Vanek","Montreal","L","78","27","41","68","220","254","-34","-0.2","-1.2","-32","-8","6","-19"
"Daniel Briere","Montreal","C","69","13","12","25","666","749","-83","0.1","-0.7","-21","-71","9","-20"
"Raphael Diaz","Montreal","D","63","2","13","15","550","623","-73","0.1","0","-38","-35","0","-15"
"Ryan White","Montreal","C","52","2","4","6","263","439","-176","-10.4","-18","-39","-71","-66","-42"
"P.K. Subban","Montreal","D","82","10","43","53","1405","1415","-10","5.1","8.7","8","-45","27","-19"
"Jarred Tinordi","Montreal","D","22","0","2","2","239","224","15","1.9","2.8","12","-4","7","16"
"Brandon Prust","Montreal","L","52","6","7","13","418","576","-158","-6.9","-13.2","-52","-64","-42","-54"
"Douglas Murray","Montreal","D","53","0","2","2","478","677","-199","-6.6","-12.7","-47","-106","-46","-81"
"Max Pacioretty","Montreal","L","73","39","21","60","997","931","66","7.5","12.9","-35","42","59","12"
"Rene Bourque","Montreal","R","63","9","7","16","672","815","-143","-1.7","-4.6","-29","-87","-27","-69"
"Alexei Emelin","Montreal","D","59","3","14","17","826","1031","-205","-2.3","-5.8","-68","-123","-14","-70"
"Francis Bouillon","Montreal","D","52","2","4","6","654","840","-186","-4.6","-10.1","-78","-95","-13","-11"
"Tomas Plekanec","Montreal","C","81","20","23","43","955","1146","-191","-2","-3.2","-59","-124","-8","-65"
"Brendan Gallagher","Montreal","R","81","19","22","41","1104","1014","90","7.9","13.2","40","-26","76","17"
