Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Connor Carrick","Washington","D","34","1","5","6","387","495","-108","-4.6","-9.9","-52","-39","-17","-24"
"Jay Beagle","Washington","R","62","4","5","9","481","591","-110","-3","-6.5","-37","-64","-9","-50"
"Jason Chimera","Washington","L","82","15","27","42","895","1026","-131","-1.5","-3.2","-66","-43","-22","-53"
"Aaron Volpatti","Washington","L","41","2","0","2","191","293","-102","-9.8","-19.3","-29","-35","-38","-41"
"Brooks Laich","Washington","C","51","8","7","15","539","585","-46","-2.8","-4.1","-16","-18","-12","-4"
"Eric Fehr","Washington","C","73","13","18","31","816","844","-28","2","2.4","-37","-40","49","47"
"Marcus Johansson","Washington","L","80","8","36","44","953","1022","-69","0.6","0.1","-38","-36","5","7"
"Nate Schmidt","Washington","D","29","2","4","6","458","447","11","3","4.2","27","-16","0","5"
"Joel Ward","Washington","R","82","24","25","49","860","954","-94","-0.4","-1.3","-44","-47","-3","-26"
"Karl Alzner","Washington","D","82","2","16","18","1109","1249","-140","-1","-2","-56","-64","-20","-69"
"Alexander Urbom","Washington","D","20","1","1","2","205","259","-54","-7.9","-14.1","-31","-23","0","-8"
"Alex Ovechkin","Washington","L","78","51","28","79","1109","1141","-32","2.4","3.8","13","-57","12","-10"
"John Carlson","Washington","D","82","10","27","37","1174","1326","-152","-1.1","-1.5","-91","-62","1","-70"
"Mike Green","Washington","D","70","9","29","38","1180","1105","75","4.6","6.8","37","-6","44","41"
"Mikhail Grabovski","Washington","C","58","13","22","35","762","734","28","3.9","5.8","8","-15","35","62"
"Dmitry Orlov","Washington","D","54","3","8","11","859","817","42","6.6","10.4","36","-49","55","38"
"Dustin Penner","Washington","R","67","14","21","35","159","178","-19","4.4","6.9","-19","-18","18","-10"
"Nicklas Backstrom","Washington","C","82","18","61","79","1085","1116","-31","2.3","3.9","-18","-38","25","-32"
"Martin Erat","Washington","R","70","3","26","29","542","565","-23","1.1","1.2","9","-19","-13","-5"
"Troy Brouwer","Washington","R","82","25","18","43","866","947","-81","0.1","0.9","-68","-40","27","9"
"Tom Wilson","Washington","R","82","3","7","10","462","564","-102","-3.1","-6.4","-35","-43","-24","-40"
"John Erskine","Washington","D","37","1","3","4","419","497","-78","-4.8","-8.1","-37","-40","-1","-6"
"Steve Oleksy","Washington","D","33","2","8","10","366","419","-53","-1.4","-3.3","-20","-24","-9","5"
