Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Zack Kassian","Vancouver","R","73","14","15","29","835","805","30","-0.7","-0.1","16","-6","20","33"
"Alexander Edler","Vancouver","D","63","7","15","22","1088","986","102","-0.3","0.2","60","-23","65","27"
"Jannik Hansen","Vancouver","R","71","11","9","20","900","837","63","0.6","2.4","41","-18","40","61"
"Yannick Weber","Vancouver","D","49","6","4","10","425","424","1","-1.4","-1.9","19","-11","-7","-7"
"Michael Santorelli","Vancouver","C","49","10","18","28","720","707","13","0.8","0.9","12","-24","25","-31"
"Raphael Diaz","Vancouver","D","63","2","13","15","83","56","27","8.5","14.9","22","-14","19","1"
"Kevin Bieksa","Vancouver","D","76","4","20","24","1340","1262","78","0.3","0.7","30","-35","83","25"
"Daniel Sedin","Vancouver","L","73","16","31","47","1103","837","266","8","12.6","61","39","166","126"
"Tom Sestito","Vancouver","L","77","5","4","9","377","469","-92","-7.7","-14.1","-27","-35","-30","-48"
"Alexandre Burrows","Vancouver","R","49","5","10","15","687","537","150","4.8","8.3","57","30","63","41"
"Chris Higgins","Vancouver","L","78","17","22","39","1111","1082","29","-1.2","-1.9","49","-4","-16","-3"
"Ryan Stanton","Vancouver","D","64","1","15","16","848","748","100","1.3","3.4","81","-21","40","22"
"Ryan Kesler","ANA","C","77","25","18","43","1152","1047","105","1.6","2.8","77","-29","57","60"
"Brad Richardson","Vancouver","R","73","11","12","23","787","856","-69","-4.8","-7.8","-11","-81","23","-15"
"Christopher Tanev","Vancouver","D","64","6","11","17","947","905","42","0.7","1.9","0","-28","70","33"
"Dan Hamhuis","Vancouver","D","79","5","17","22","1293","1226","67","0.2","1.1","14","-4","57","65"
"Shawn Matthias","Vancouver","C","77","12","11","23","177","217","-40","-12.7","-21.6","-17","-15","-8","-20"
"Jason Garrison","Vancouver","D","81","7","26","33","1158","1207","-49","-3.4","-5.7","-10","-44","5","0"
"Henrik Sedin","Vancouver","C","70","11","39","50","1034","827","207","6.3","9.6","64","37","106","113"
"Zac Dalpe","Vancouver","C","55","4","3","7","307","380","-73","-6","-12.2","-11","-40","-22","-20"
"David Booth","Vancouver","L","66","9","10","19","805","743","62","1","3.2","43","-35","54","45"
"Jordan Schroeder","Vancouver","C","25","3","3","6","242","219","23","-0.6","-0.4","-4","-6","33","-19"
"Dale Weise","Vancouver","R","61","6","10","16","262","332","-70","-6.5","-13.3","-12","-46","-12","-29"
