Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Calvin de Haan","New York I.","D","51","3","13","16","822","752","70","5.1","7.9","24","-44","90","26"
"Thomas Hickey","New York I.","D","82","4","18","22","1219","1193","26","1.6","2","21","-21","26","26"
"Matt Moulson","New York I.","L","75","23","28","51","130","159","-29","-2","-4","-9","-15","-5","-5"
"John Tavares","New York I.","C","59","24","42","66","957","970","-13","0.9","1.4","-19","-31","37","12"
"Aaron Ness","New York I.","D","20","1","2","3","252","271","-19","0","-0.9","-6","-17","4","-9"
"Lubomir Visnovsky","New York I.","D","24","3","8","11","366","317","49","7.4","12","7","29","13","12"
"Casey Cizikas","New York I.","C","80","6","10","16","643","790","-147","-6.1","-9.2","-74","-45","-28","-51"
"Frans Nielsen","New York I.","C","80","25","33","58","867","844","23","1.5","1.9","30","-37","30","-34"
"Michael Grabner","New York I.","R","64","12","14","26","652","635","17","2.1","3.1","3","12","2","-7"
"Mike Halmo","New York I.","L","20","1","0","1","158","138","20","3","6.3","-1","14","7","9"
"Colin McDonald","New York I.","R","70","8","10","18","681","764","-83","-3.1","-5.7","-9","-75","1","-14"
"Josh Bailey","New York I.","L","77","8","30","38","925","839","86","3.9","6.2","45","6","35","31"
"Matt Martin","New York I.","L","79","8","6","14","683","842","-159","-6.2","-11.2","-83","-49","-27","-59"
"Kyle Okposo","New York I.","R","71","27","42","69","1120","1118","2","1.5","2.1","-11","-18","31","-12"
"Travis Hamonic","New York I.","D","69","3","15","18","1246","1237","9","1.4","2.3","3","-57","63","-27"
"Matt Donovan","New York I.","D","52","2","14","16","789","677","112","4.5","8.2","29","-7","90","19"
"Eric Boulton","New York I.","L","23","2","2","4","98","168","-70","-13","-28.5","-23","-17","-30","-15"
"Anders Lee","New York I.","C","22","9","5","14","273","225","48","5.8","9.3","49","-22","21","17"
"Brian Strait","New York I.","D","47","3","6","9","553","686","-133","-5.8","-9.5","-72","-34","-27","-45"
"Thomas Vanek","New York I.","L","78","27","41","68","722","763","-41","-1","-2.6","-40","-29","28","-5"
"Peter Regin","New York I.","C","61","4","7","11","440","408","32","3.2","5.7","-13","9","36","-7"
"Pierre-Marc Bouchard","New York I.","C","28","4","5","9","329","313","16","1.8","2.5","-4","9","11","-3"
"Andrew MacDonald","New York I.","D","82","4","24","28","916","1185","-269","-8.6","-14.1","-138","-74","-57","-82"
"Matt Carkner","New York I.","D","53","0","3","3","601","616","-15","-0.6","-1.4","38","-32","-21","2"
"Cal Clutterbuck","New York I.","R","73","12","7","19","728","763","-35","-0.9","-2","-15","-30","10","-24"
"Brock Nelson","New York I.","C","72","14","12","26","772","671","101","4.9","7.9","49","-25","77","18"
"Ryan Strome","New York I.","C","37","7","11","18","445","411","34","3.5","5.6","13","-26","47","12"
