Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Ryan Jones","Edmonton","L","52","2","4","6","339","459","-120","-2.4","-6.1","-70","-31","-19","-40"
"Luke Gazdic","Edmonton","L","67","2","2","4","246","420","-174","-8.2","-18.9","-62","-45","-67","-61"
"Boyd Gordon","Edmonton","C","74","8","13","21","588","807","-219","-2.3","-3","-77","-93","-49","-93"
"Ladislav Smid","Edmonton","D","73","2","6","8","180","239","-59","-5.4","-9.6","-27","-14","-18","-24"
"Taylor Hall","Edmonton","L","75","27","53","80","963","1203","-240","0.5","0.4","-77","-72","-91","-75"
"Mike Brown","Edmonton","R","56","2","3","5","20","41","-21","-15.8","-25.1","-5","-10","-6","-5"
"Sam Gagner","Edmonton","C","67","10","27","37","792","1001","-209","-0.1","-1.2","-38","-92","-79","-97"
"Ryan Nugent-Hopkins","Edmonton","C","80","19","37","56","1011","1241","-230","1","1.5","-107","-43","-80","-84"
"David Perron","Edmonton","L","78","28","29","57","965","1147","-182","2.5","3.7","-81","-72","-29","-100"
"Justin Schultz","Edmonton","D","74","11","22","33","1036","1381","-345","-2.5","-5","-124","-131","-90","-186"
"Anton Belov","Edmonton","D","57","1","6","7","667","771","-104","2.8","3.4","-21","-40","-43","-64"
"Philip Larsen","Edmonton","D","30","3","9","12","318","428","-110","-0.7","-1.8","-39","-25","-46","-16"
"Mark Fraser","Edmonton","D","42","1","1","2","252","331","-79","-0.6","-3.3","-10","-37","-32","-34"
"Will Acton","Edmonton","C","30","3","2","5","114","176","-62","-8","-11.2","-16","-17","-29","2"
"Nail Yakupov","Edmonton","R","63","11","13","24","625","773","-148","0.6","-0.9","-32","-46","-70","-63"
"Jordan Eberle","Edmonton","R","80","28","37","65","1050","1219","-169","2.9","4.5","-60","-45","-64","-87"
"Matt Hendricks","Edmonton","L","77","5","2","7","243","353","-110","-2.7","-3","-31","-61","-18","-54"
"Andrew Ference","Edmonton","D","71","3","15","18","964","1283","-319","-3","-6.8","-141","-79","-99","-110"
"Jeff Petry","Edmonton","D","80","7","10","17","1134","1290","-156","3.8","5.6","-47","-64","-45","-61"
"Ryan Smyth","Edmonton","L","72","10","13","23","637","766","-129","1.8","4","-50","-66","-13","-64"
"Jesse Joensuu","Edmonton","L","42","3","2","5","287","369","-82","-0.3","-3.6","-13","-26","-43","-46"
"Ales Hemsky","Edmonton","R","75","13","30","43","588","658","-70","2.9","4.3","-14","-34","-22","-43"
"Mark Arcobello","Edmonton","C","41","4","14","18","443","477","-34","3.8","5.7","-11","-7","-16","-43"
"Martin Marincin","Edmonton","D","44","0","6","6","599","660","-61","7.1","11.7","-21","-25","-15","-57"
"Anton Lander","Edmonton","C","27","0","1","1","209","266","-57","-0.1","0.7","-17","-39","-1","-40"
"Nick Schultz","Edmonton","D","69","0","5","5","618","893","-275","-5.2","-10.2","-110","-99","-66","-79"
