Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Drew Shore","Florida","C","24","5","2","7","196","186","10","-1.1","-0.9","-10","1","19","17"
"Tom Gilbert","Florida","D","73","3","25","28","1161","1084","77","2","3","-3","26","54","1"
"Ed Jovanovski","Florida","D","37","1","4","5","420","466","-46","-5.8","-9.6","-17","-5","-24","-33"
"Krys Barch","Florida","R","55","0","4","4","237","300","-63","-6.9","-12.5","-28","-30","-5","-5"
"Scottie Upshall","Florida","L","76","15","22","37","864","804","60","1.8","3","-8","-2","70","22"
"Tomas Fleischmann","Florida","L","80","8","20","28","938","897","41","0.4","0.8","6","9","26","-16"
"Brandon Pirri","Florida","C","49","13","12","25","218","219","-1","1.1","0.8","-20","8","11","-8"
"Jonathan Huberdeau","Florida","L","69","9","19","28","829","798","31","-0.3","0.7","13","3","15","16"
"Jimmy Hayes","Florida","R","55","11","7","18","418","472","-54","-4.7","-7.6","-36","-29","11","-19"
"Brian Campbell","Florida","D","82","7","30","37","1465","1315","150","3","4.1","9","22","119","24"
"Marcel Goc","Florida","C","74","11","14","25","743","661","82","1.9","3.7","54","-48","76","2"
"Jesse Winchester","Florida","C","52","9","9","18","494","461","33","-0.4","0","-4","-17","54","-3"
"Dmitry Kulikov","Florida","D","81","8","11","19","1206","1148","58","0.4","1","-35","-15","108","18"
"Nick Bjugstad","Florida","C","76","16","22","38","947","920","27","-0.9","-0.7","26","14","-13","-12"
"Sean Bergenheim","Florida","L","62","16","13","29","835","679","156","3.1","6.2","38","70","48","43"
"Vincent Trocheck","Florida","C","20","5","3","8","228","211","17","4","5.7","14","-10","13","10"
"Aleksander Barkov","Florida","C","54","8","16","24","689","634","55","1","2.6","-11","41","25","23"
"Shawn Matthias","Florida","C","77","12","11","23","506","516","-10","-2.5","-3.8","7","-36","19","-18"
"Mike Weaver","Florida","D","72","1","12","13","731","705","26","-0.7","-0.5","1","2","23","3"
"Dylan Olsen","Florida","D","44","3","9","12","552","528","24","0.5","1.1","23","-25","26","7"
"Scott Gomez","Florida","C","46","2","10","12","427","453","-26","-2.1","-2.6","-43","12","5","1"
"Brad Boyes","Florida","R","78","21","15","36","995","957","38","0.3","0.7","13","38","-13","-1"
"Kris Versteeg","Florida","L","81","12","24","36","218","200","18","4.8","7.8","3","13","2","16"
"Erik Gudbranson","Florida","D","65","3","6","9","913","871","42","-1.2","-0.8","41","6","-5","11"
"Tomas Kopecky","Florida","R","49","4","8","12","539","498","41","1.6","3.2","53","-48","36","4"
