Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Matt D'Agostini","Pittsburgh","R","57","5","7","12","70","50","20","6.6","11.2","10","2","8","11"
"Beau Bennett","Pittsburgh","R","21","3","4","7","246","180","66","7.9","13.6","35","9","22","22"
"Tanner Glass","Pittsburgh","L","67","4","9","13","422","650","-228","-11.7","-18.3","-56","-100","-72","-99"
"Pascal Dupuis","Pittsburgh","R","39","7","13","20","585","506","79","4.6","7.9","43","7","29","41"
"Evgeni Malkin","Pittsburgh","C","60","23","49","72","857","762","95","5.7","8.7","48","-5","52","60"
"Jussi Jokinen","Pittsburgh","L","81","21","36","57","1018","841","177","8.5","14.4","103","-1","75","68"
"Jayson Megna","Pittsburgh","C","36","5","4","9","275","332","-57","-3.2","-7.1","-24","-21","-12","-5"
"Rob Scuderi","Pittsburgh","D","53","0","4","4","664","846","-182","-6.3","-10.9","-42","-79","-61","-44"
"Marcel Goc","Pittsburgh","C","74","11","14","25","76","129","-53","-11.4","-18.5","-17","-17","-19","-14"
"Craig Adams","Pittsburgh","R","82","5","6","11","482","693","-211","-9.2","-12.4","-60","-91","-60","-74"
"Chris Kunitz","Pittsburgh","L","78","35","33","68","1114","1018","96","5.3","7.9","38","31","27","64"
"Lee Stempniak","Pittsburgh","R","73","12","22","34","230","277","-47","-3.5","-7.3","4","-13","-38","-12"
"Olli Maatta","Pittsburgh","D","78","9","20","29","1081","1056","25","3","4","47","-66","44","9"
"Zach Sill","Pittsburgh","C","20","0","0","0","94","183","-89","-14.6","-22.7","-26","-27","-36","-37"
"Brandon Sutter","Pittsburgh","C","81","13","13","26","672","893","-221","-7.4","-10.4","-55","-143","-23","-93"
"Chuck Kobasew","Pittsburgh","R","33","2","0","2","241","293","-52","-3.6","-6.4","-9","-39","-4","-13"
"Brian Gibbons","Pittsburgh","C","41","5","12","17","372","358","14","3.3","4.7","2","-2","14","9"
"Joe Vitale","Pittsburgh","C","53","1","13","14","395","495","-100","-5.5","-10.3","-19","-40","-41","-52"
"Kris Letang","Pittsburgh","D","37","11","11","22","564","590","-26","-1.4","-1.7","24","-54","4","-22"
"Taylor Pyatt","Pittsburgh","L","56","4","1","5","255","348","-93","-6.3","-13.1","-37","-46","-10","-20"
"Simon Despres","Pittsburgh","D","34","0","5","5","457","426","31","6","9.3","17","-1","15","20"
"Dustin Jeffrey","Pittsburgh","C","34","2","2","4","73","73","0","-2.3","-3","-6","10","-4","-4"
"Brooks Orpik","Pittsburgh","D","72","2","11","13","980","1141","-161","-4.2","-6.3","-39","-91","-31","-57"
"Matt Niskanen","Pittsburgh","D","81","10","36","46","1246","1085","161","7.3","11.6","83","37","41","59"
"James Neal","Pittsburgh","L","59","27","34","61","860","693","167","10","16.2","93","12","62","53"
"Paul Martin","Pittsburgh","D","39","3","12","15","547","564","-17","-2.5","-4.1","6","-32","9","-5"
"Sidney Crosby","Pittsburgh","C","80","36","68","104","1288","1139","149","7","11.1","74","36","39","75"
"Robert Bortuzzo","Pittsburgh","D","54","0","10","10","591","710","-119","-3.8","-7.5","-19","-87","-13","-15"
"Deryk Engelland","Pittsburgh","D","56","6","6","12","504","644","-140","-5.1","-10.5","-64","-39","-37","-30"
