Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Danny DeKeyser","Detroit","D","65","4","19","23","872","902","-30","-4.1","-6.3","-37","7","0","36"
"Darren Helm","Detroit","C","42","12","8","20","442","394","48","0.8","1.5","13","5","30","23"
"Patrick Eaves","Detroit","R","30","2","3","5","207","205","2","-3.4","-4.6","-8","-16","26","12"
"Jonathan Ericsson","Detroit","D","48","1","10","11","713","666","47","-0.1","0.8","7","0","40","40"
"Stephen Weiss","Detroit","C","26","2","2","4","202","282","-80","-10.4","-15.5","-19","-61","0","-44"
"Daniel Cleary","Detroit","R","52","4","4","8","444","492","-48","-4.2","-6","0","-31","-17","-33"
"Justin Abdelkader","Detroit","L","70","10","18","28","822","798","24","-0.5","0.4","9","-14","29","40"
"Riley Sheahan","Detroit","C","42","9","15","24","480","374","106","4.8","8.5","10","45","51","71"
"Pavel Datsyuk","Detroit","C","45","17","20","37","635","505","130","3.8","5.6","26","72","32","55"
"Johan Franzen","Detroit","R","54","16","25","41","606","578","28","0.3","0.8","-27","34","21","54"
"Luke Glendening","Detroit","C","56","1","6","7","449","520","-71","-6.5","-9.5","-30","-34","-7","-3"
"Gustav Nyquist","Detroit","R","57","28","20","48","687","578","109","4.3","6.8","11","66","32","76"
"Mikael Samuelsson","Detroit","R","26","1","2","3","156","150","6","1.7","2.3","7","-4","3","0"
"Tomas Jurco","Detroit","R","36","8","7","15","388","302","86","3.5","6.6","13","34","39","47"
"Henrik Zetterberg","Detroit","L","45","16","32","48","654","574","80","3.7","5.2","28","41","11","40"
"Brian Lashoff","Detroit","D","75","1","5","6","742","733","9","-1.2","-1.5","22","-8","-5","17"
"Brendan Smith","Detroit","D","71","5","14","19","1042","892","150","3.1","5.9","29","50","71","75"
"Niklas Kronwall","Detroit","D","79","8","41","49","1169","1083","86","0.8","1.7","-17","51","52","68"
"Jakub Kindl","Detroit","D","66","2","17","19","834","784","50","0.9","2.6","26","-11","35","-1"
"Joakim Andersson","Detroit","C","65","8","9","17","579","580","-1","-1.5","-2.1","34","-14","-21","-5"
"Daniel Alfredsson","Detroit","R","68","18","31","49","726","691","35","-0.5","-0.2","26","-17","26","7"
"Drew Miller","Detroit","L","82","7","8","15","684","717","-33","-3.3","-4.7","-17","-32","16","1"
"Kyle Quincey","Detroit","D","82","4","9","13","1166","1175","-9","-2.5","-3.3","-18","-8","17","41"
"Tomas Tatar","Detroit","L","73","19","20","39","810","632","178","5.8","10.2","50","74","54","93"
"David Legwand","Detroit","C","83","14","37","51","235","242","-7","-3.9","-5.2","-24","19","-2","11"
"Todd Bertuzzi","Detroit","R","59","9","7","16","552","560","-8","-1.8","-2.6","-45","31","6","15"
