Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Martin Erat","Arizona","R","70","3","26","29","179","153","26","4.1","6.3","10","-3","19","29"
"Radim Vrbata","Arizona","R","80","20","31","51","1079","1026","53","0.7","2.2","30","-72","95","-22"
"Brandon McMillan","Arizona","L","22","2","4","6","238","201","37","7","12","26","-9","20","2"
"Zbynek Michalek","Arizona","D","59","2","8","10","832","862","-30","0.1","-0.5","-4","-35","9","-6"
"Rostislav Klesla","Arizona","D","25","1","3","4","335","303","32","0.6","2","-2","-11","45","12"
"Oliver Ekman-Larsson","Arizona","D","80","15","29","44","1162","1197","-35","-1.8","-3","-49","-59","73","-46"
"Connor Murphy","Arizona","D","30","1","7","8","434","415","19","-2.9","-3.9","18","-17","18","7"
"Derek Morris","Arizona","D","63","5","12","17","961","952","9","-1","-1.6","13","-54","50","-72"
"Jordan Szwarz","Arizona","R","26","3","0","3","170","177","-7","-1.1","-1.9","-18","-15","26","-2"
"Kyle Chipchura","Arizona","C","80","5","15","20","689","646","43","1.5","3.3","-1","-22","66","21"
"Tim Kennedy","Arizona","L","37","2","6","8","401","395","6","-2.7","-4.2","10","-21","17","-25"
"Antoine Vermette","Arizona","C","82","24","21","45","962","1021","-59","-2.8","-4.3","-35","-57","33","-28"
"Mike Ribeiro","Arizona","C","80","16","31","47","1097","976","121","3.2","5","70","-23","74","10"
"David Schlemko","Arizona","D","48","1","8","9","643","560","83","5.3","9.3","41","-14","56","49"
"David Moss","Arizona","R","79","8","14","22","917","834","83","2.6","4.3","41","-7","49","5"
"Michael Stone","Arizona","D","70","8","13","21","943","950","-7","-0.7","-0.3","-6","-58","57","-30"
"Keith Yandle","Arizona","D","82","8","45","53","1494","1422","72","1.2","2.2","59","-49","62","-37"
"Jeff Halpern","Arizona","C","69","5","7","12","458","479","-21","-2.4","-3.8","-14","-18","11","-27"
"Rob Klinkhammer","Arizona","L","72","11","9","20","774","668","106","3.9","7.8","47","20","39","23"
"Lauri Korpikoski","Arizona","L","64","9","16","25","700","807","-107","-5.3","-8.2","-44","-78","15","-86"
"Mikkel Boedker","Arizona","L","82","19","32","51","1011","1073","-62","-2.9","-4.6","-5","-81","24","-30"
"Martin Hanzal","Arizona","C","65","15","25","40","841","843","-2","-1.1","-1.1","5","-78","71","-71"
"Shane Doan","Arizona","R","69","23","24","47","966","929","37","1.6","1.7","-1","-39","77","-10"
"Paul Bissonnette","Arizona","L","39","2","6","8","171","154","17","1.1","3.5","0","11","6","24"
