Pos.Position,2014 Cap Dollars
"Alexander Khokhlachev","$786,667"
"Chris Kelly","$3,000,000"
"Brad Marchand","$4,500,000"
"Patrice Bergeron","$5,000,000"
"Carl Soderberg","$1,008,333"
"Dougie Hamilton","$894,166"
"Reilly Smith","$900,000"
"Adam McQuaid","$1,566,667"
"Kevan Miller","$366,667"
"Shawn Thornton","$1,100,000"
"Jordan Caron","$640,000"
"Chad Johnson","$600,000"
"Tuukka Rask","$7,000,000"
"Torey Krug","$916,667"
"Loui Eriksson","$4,250,000"
"Matt Bartkowski","$650,000"
"Dennis Seidenberg","$3,250,000"
"Andrej Meszaros","$410,256"
"Jarome Iginla","$1,800,000"
"David Krejci","$5,250,000"
"Zdeno Chara","$6,916,667"
"Corey Potter","$158,974"
"Justin Florek","$28,308"
"Matt Lindblad","$21,378"
"Daniel Paille","$1,300,000"
"Milan Lucic","$6,000,000"
"Gregory Campbell","$1,600,000"
"Johnny Boychuk","$3,366,667"
