Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Cory Conacher","Buffalo","Center","79","7","19","26","178","267","-89","-1.7","-5.8","-47","-14","-28","-28","178718"
"Matt Moulson","Buffalo","Left Wing","75","23","28","51","549","667","-118","2.5","3.4","-44","-50","-24","-67","null"
"Drew Stafford","Buffalo","Right Wing","70","16","18","34","783","1045","-262","-0.8","-2.1","-143","-54","-65","-152","4000000"
"Henrik Tallinder","Buffalo","Defense","64","2","6","8","769","1040","-271","-1.8","-4.4","-143","-103","-25","-89","3375000"
"Johan Larsson","Buffalo","Left Wing","28","0","4","4","245","284","-39","4.7","6.8","-27","-8","-4","2","null"
"Tyler Ennis","Buffalo","Center","80","21","22","43","984","1256","-272","1","0.2","-153","-57","-62","-120","2812500"
"Cody McCormick","Buffalo","Center","43","2","5","7","124","206","-82","-6.3","-10","-28","-13","-41","-35","null"
"Mike Weber","Buffalo","Defense","68","1","8","9","761","1119","-358","-3.9","-9.7","-183","-76","-99","-147","1666667"
"Cody Hodgson","Buffalo","Center","72","20","24","44","810","1098","-288","-0.2","-1.2","-131","-82","-75","-110","4250000"
"Christian Ehrhoff","Buffalo","Defense","79","6","27","33","1112","1306","-194","4.8","8.8","-90","-77","-27","-124","4000000"
"Chris Stewart","Buffalo","Right Wing","63","15","11","26","45","73","-28","0.5","-5.7","-15","-8","-5","-10","957692"
"Matt D'Agostini","Buffalo","Right Wing","57","5","7","12","510","600","-90","3.7","4.9","-42","-74","26","-32","389231"
"Steve Ott","Buffalo","Center","82","9","14","23","663","890","-227","-1.8","-2.7","-144","-68","-15","-102","null"
"Alexander Sulzer","Buffalo","Defense","25","0","2","2","293","419","-126","-4.1","-9.7","-70","-45","-11","-76","561410"
"Mark Pysyk","Buffalo","Defense","44","1","6","7","534","629","-95","2.7","4.4","-85","-9","-1","-18","870000"
"Tyler Myers","Buffalo","Defense","62","9","13","22","763","954","-191","1.7","3.6","-116","-52","-23","-87","5500000"
"Brian Flynn","Buffalo","Center","79","6","7","13","660","929","-269","-1.7","-3.2","-99","-80","-90","-126","637500"
"John Scott","Buffalo","Left Wing","56","1","0","1","243","366","-123","-4.6","-10.5","-65","-12","-46","-32","750000"
"Matt Ellis","Buffalo","Left Wing","50","4","2","6","284","375","-91","0.7","0.5","-46","-43","-2","-13","330000"
"Jamie McBain","Buffalo","Defense","69","6","11","17","819","1190","-371","-3.2","-6","-109","-122","-140","-130","1800000"
"Thomas Vanek","Buffalo","Left Wing","78","27","41","68","140","207","-67","-3.9","-8.6","-43","-1","-23","-19","null"
"Ville Leino","Buffalo","Left Wing","58","0","15","15","538","701","-163","1.1","0.3","-81","-54","-28","-86","4500000"
"Chad Ruhwedel","Buffalo","Defense","21","0","1","1","264","325","-61","4.8","7.3","-30","-34","3","-29","270385"
"Torrey Mitchell","Buffalo","Center","67","2","8","10","84","112","-28","3.6","6.1","1","-22","-7","-21","389744"
"Rasmus Ristolainen","Buffalo","Defense","34","2","2","4","388","561","-173","-1.2","-3","-87","-26","-60","-79","null"
"Zenon Konopka","Buffalo","Center","59","1","2","3","81","154","-73","-8.2","-9.5","-45","-23","-5","-17","479103"
"Corey Tropp","Buffalo","Right Wing","53","2","9","11","54","93","-39","-7.5","-15.8","-16","-3","-20","-13","null"
"Marcus Foligno","Buffalo","Left Wing","74","7","12","19","694","924","-230","-0.7","-2.4","-95","-90","-45","-99","826667"
"Zemgus Girgensons","Buffalo","Center","70","8","14","22","709","876","-167","2.1","2.7","-84","-43","-40","-70","894167"
