Pos.Position,2014 Cap Dollars
"Connor Knapp","$9,346"
"Drew Stafford","$4,000,000"
"Marcus Foligno","$826,667"
"Matt D'Agostini","$389,231"
"Tyler Myers","$5,500,000"
"Tyler Ennis","$2,812,500"
"John Scott","$750,000"
"Matt Ellis","$330,000"
"Matthew Hackett","$110,000"
"Zenon Konopka","$479,103"
"Brian Flynn","$637,500"
"Jhonas Enroth","$1,250,000"
"Jamie McBain","$1,800,000"
"Chad Ruhwedel","$270,385"
"Cory Conacher","$178,718"
"Henrik Tallinder","$3,375,000"
"Christian Ehrhoff","$4,000,000"
"Michal Neuvirth","$512,821"
"Torrey Mitchell","$389,744"
"Alexander Sulzer","$561,410"
"Mike Weber","$1,666,667"
"Zemgus Girgensons","$894,167"
"Cody Hodgson","$4,250,000"
"Ville Leino","$4,500,000"
"Chris Stewart","$957,692"
"Mark Pysyk","$870,000"
"Nathan Lieuwen","$87,496"
