Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Mikael Backlund","Calgary","Center","76","18","21","39","972","907","65","7.4","11.8","26","-33","72","64"
"TJ Galiardi","Calgary","Left Wing","62","4","13","17","713","727","-14","2.4","3.1","-8","-46","40","-3"
"Lee Stempniak","Calgary","Right Wing","73","12","22","34","661","707","-46","3.9","6.3","-50","-14","18","-22"
"Shane O'Brien","Calgary","Defense","45","0","3","3","384","489","-105","-2.8","-8.4","-77","-50","22","-46"
"Joe Colborne","Calgary","Center","80","10","18","28","783","939","-156","-1.2","-3.2","-99","-94","37","-99"
"Sean Monahan","Calgary","Center","75","22","12","34","760","975","-215","-4.1","-7.8","-144","-51","-20","-98"
"Paul Byron","Calgary","Center","47","7","14","21","485","478","7","3.6","5.6","2","-31","36","15"
"Sven Baertschi","Calgary","Left Wing","26","2","9","11","261","345","-84","-1.4","-4.7","-58","-19","-7","-30"
"Tim Jackman","Calgary","Right Wing","36","4","1","5","55","75","-20","-7.8","-18.8","-24","-1","5","0"
"Dennis Wideman","Calgary","Defense","46","4","17","21","693","817","-124","-1.7","-3.1","-72","-23","-29","-47"
"Jiri Hudler","Calgary","Center","75","17","37","54","886","1012","-126","1.3","2.7","-95","-53","22","-31"
"Kevin Westgarth","Calgary","Right Wing","48","4","3","7","185","266","-81","-8.1","-18.2","-23","-29","-29","-16"
"Matt Stajan","Calgary","Center","63","14","19","33","825","909","-84","1.7","2.7","-91","-48","55","-44"
"Lance Bouma","Calgary","Center","78","5","10","15","640","830","-190","-3.5","-7.6","-94","-64","-32","-43"
"Chris Butler","Calgary","Defense","82","2","14","16","1092","1461","-369","-5.5","-11.3","-250","-148","29","-125"
"Ladislav Smid","Calgary","Defense","73","2","6","8","621","888","-267","-7.6","-13.7","-81","-98","-88","-84"
"Curtis Glencross","Calgary","Left Wing","38","12","12","24","418","558","-140","-4.2","-7.6","-73","-65","-2","-34"
"Brian McGrattan","Calgary","Right Wing","76","4","4","8","364","585","-221","-9.1","-22","-84","-61","-76","-41"
"Kris Russell","Calgary","Defense","68","7","22","29","1007","1309","-302","-3.2","-6.5","-179","-109","-14","-107"
"Mike Cammalleri","Calgary","Left Wing","63","26","19","45","867","839","28","6.7","11.3","1","-43","70","3"
"David Jones","Calgary","Right Wing","48","9","8","17","528","638","-110","-0.6","-2.9","-66","-72","28","-33"
"TJ Brodie","Calgary","Defense","81","4","27","31","1342","1266","76","8.1","13.3","5","-61","132","34"
"Mark Giordano","Calgary","Defense","64","14","33","47","1042","909","133","10.4","17.9","51","-18","100","48"

