Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Eric Staal","Carolina","Center","79","21","40","61","1263","1152","111","2.8","4.2","4","-7","114","39","8250000"
"Nathan Gerbe","Carolina","Left Wing","81","16","15","31","1081","1008","73","2.3","4.3","19","8","46","46","550000"
"Patrick Dwyer","Carolina","Right Wing","75","8","14","22","830","884","-54","-2.3","-4","-45","-15","6","7","900000"
"John-Michael Liles","Carolina","Defense","41","2","7","9","550","512","38","2.7","4.2","12","-12","38","22","2046795"
"Riley Nash","Carolina","Center","73","10","14","24","722","705","17","0","0.1","-17","-6","40","6","575000"
"Andrej Sekera","Carolina","Defense","74","11","33","44","1317","1243","74","1.5","2.5","32","6","36","27","2750000"
"Kevin Westgarth","Carolina","Right Wing","48","4","3","7","58","61","-3","-3","-5.1","-5","-3","5","-2","390385"
"Ron Hainsey","Carolina","Defense","82","4","11","15","1361","1307","54","1.1","1.8","16","-49","87","-49","2000000"
"Drayson Bowman","Carolina","Left Wing","70","4","8","12","554","661","-107","-5.4","-9.9","-53","-33","-21","-52","600000"
"Mike Komisarek","Carolina","Defense","32","0","4","4","322","342","-20","-3.9","-7.2","-28","-8","16","2","700000"
"Jiri Tlusty","Carolina","Center","68","16","14","30","846","806","40","0.8","2.3","48","-20","12","19","1600000"
"Elias Lindholm","Carolina","Center","58","9","12","21","633","644","-11","-1","-1.8","-22","-22","33","-26","749487"
"Alexander Semin","Carolina","Right Wing","65","22","20","42","1118","906","212","6.5","11.8","86","-26","152","76","7000000"
"Jordan Staal","Carolina","Center","82","15","25","40","1238","1058","180","5.2","9","49","13","118","58","6000000"
"Brett Bellemore","Carolina","Defense","64","2","6","8","862","920","-58","-1.2","-3.1","-28","-41","11","-60","600000"
"Jeff Skinner","Carolina","Left Wing","71","33","21","54","960","917","43","0.6","2.1","-30","19","54","-10","5725000"
"Jay Harrison","Carolina","Defense","68","4","11","15","922","1009","-87","-4","-7.6","-66","-50","29","-11","1500000"
"Radek Dvorak","Carolina","Right Wing","60","4","5","9","422","567","-145","-9.5","-17.6","-57","-61","-27","-72","596923"
"Manny Malhotra","Carolina","Center","69","7","6","13","485","686","-201","-10.7","-18.1","-106","-61","-34","-70","507692"
"Andrei Loktionov","Carolina","Center","68","7","15","22","230","219","11","4","7.3","-10","6","15","11","148718"
"Justin Faulk","Carolina","Defense","76","5","27","32","1364","1270","94","1.9","3.2","3","9","82","65","840000"
