Pos.Position,2014 Cap Dollars
"Eric Staal","$8,250,000"
"Jordan Staal","$6,000,000"
"Justin Faulk","$840,000"
"Justin Peters","$501,667"
"Drayson Bowman","$600,000"
"Mike Komisarek","$700,000"
"Brett Bellemore","$600,000"
"Elias Lindholm","$749,487"
"Joni Pitkanen","$4,500,000"
"Andrej Sekera","$2,750,000"
"Alexander Semin","$7,000,000"
"Manny Malhotra","$507,692"
"Radek Dvorak","$596,923"
"Anton Khudobin","$800,000"
"Nathan Gerbe","$550,000"
"Riley Nash","$575,000"
"Ron Hainsey","$2,000,000"
"Pat Dwyer","$900,000"
"John-Michael Liles","$2,046,795"
"Jiri Tlusty","$1,600,000"
"Justin Shugg","$616,667"
"Jay Harrison","$1,500,000"
"Cam Ward","$6,300,000"
"Jeff Skinner","$5,725,000"
"Andrei Loktionov","$148,718"
