Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Bryan Bickell","Chicago","Left Wing","59","11","4","15","627","456","171","3","8.3","87","30","54","51"
"Johnny Oduya","Chicago","Defense","77","3","13","16","1142","1018","124","-4.2","-6.2","44","-42","122","35"
"Brent Seabrook","Chicago","Defense","82","7","34","41","1518","1152","366","2.2","5","153","126","87","100"
"Niklas Hjalmarsson","Chicago","Defense","81","4","22","26","1244","1092","152","-3.4","-5.7","88","-54","118","30"
"Sheldon Brookbank","Chicago","Defense","48","2","5","7","535","499","36","-4.2","-5.5","-3","25","14","-9"
"Marian Hossa","Chicago","Right Wing","72","30","30","60","1074","784","290","3.7","7.2","87","95","108","89"
"Marcus Kruger","Chicago","Center","81","8","20","28","743","700","43","-5.1","-8.7","32","-55","66","3"
"Michal Handzus","Chicago","Center","59","4","12","16","577","534","43","-4.1","-6.8","20","25","-2","5"
"Brandon Pirri","Chicago","Center","49","13","12","25","311","274","37","-4.8","-6.5","39","-24","22","14"
"Jimmy Hayes","Chicago","Right Wing","55","11","7","18","22","14","8","10.4","19.3","10","-1","-1","-1"
"Ben Smith","Chicago","Right Wing","75","14","12","26","677","645","32","-5.4","-9","28","-41","45","-24"
"Peter Regin","Chicago","Center","61","4","7","11","139","113","26","-1.6","-1.2","12","15","-1","8"
"Brandon Bollig","Chicago","Left Wing","82","7","7","14","676","648","28","-5.5","-8","33","-54","49","-22"
"Andrew Shaw","Chicago","Center","80","20","19","39","997","758","239","1.7","3.4","87","42","110","75"
"Kris Versteeg","Chicago","Left Wing","81","12","24","36","691","570","121","-0.5","0.2","25","21","75","35"
"Nick Leddy","Chicago","Defense","82","7","24","31","1127","842","285","2.4","4.7","85","98","102","76"
"Brandon Saad","Chicago","Left Wing","78","19","28","47","1053","773","280","2.8","5.2","98","78","104","96"
"Michal Rozsival","Chicago","Defense","42","1","7","8","618","432","186","2.7","6","60","16","110","66"
"Jeremy Morin","Chicago","Left Wing","24","5","6","11","238","142","96","10.4","23.2","39","35","22","36"
"Michael Kostka","Chicago","Defense","28","4","7","11","111","102","9","-3.4","-4.9","-2","7","4","1"
"Jonathan Toews","Chicago","Center","76","28","40","68","1240","852","388","5.5","9","118","139","131","100"
"Patrick Kane","Chicago","Right Wing","69","29","40","69","1067","872","195","-0.6","-0.4","108","19","68","68"
"Duncan Keith","Chicago","Defense","79","6","55","61","1531","1172","359","2.1","4.1","179","91","89","104"
"Patrick Sharp","Chicago","Left Wing","82","34","44","78","1319","982","337","2.7","6.1","97","103","137","110"
