Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Paul Stastny","Colorado","Center","71","25","35","60","970","967","3","4.1","7.1","-8","-50","61","-38","6600000"
"Jamie McGinn","Colorado","Left Wing","79","19","19","38","954","1075","-121","0.5","-0.8","-14","-140","33","-9","1750000"
"Steve Downie","Colorado","Right Wing","62","4","20","24","158","150","8","5.4","8.6","-3","1","10","23","0"
"Nick Holden","Colorado","Defense","54","10","15","25","719","779","-60","1.5","2.4","5","-40","-25","-4","600000"
"Nathan MacKinnon","Colorado","Center","82","24","39","63","1069","1214","-145","0","-1.1","-47","-69","-29","-85","925000"
"John Mitchell","Colorado","Center","75","11","21","32","802","945","-143","-1.5","-3","-42","-98","-3","-42","1100000"
"Ryan O'Reilly","Colorado","Center","80","28","36","64","1114","1191","-77","2.5","4.1","29","-116","10","-29","5000000"
"Max Talbot","Colorado","Center","81","8","19","27","737","951","-214","-4.1","-8.2","-77","-113","-24","-49","1480769"
"Patrick Bordeleau","Colorado","Left Wing","82","6","5","11","363","502","-139","-5.5","-10.8","-59","-85","5","-17","1000000"
"Cory Sarich","Colorado","Defense","54","1","9","10","672","736","-64","0.5","-0.2","-41","-52","29","-23","2000000"
"Jan Hejda","Colorado","Defense","78","6","11","17","1155","1433","-278","-3","-5.6","-77","-179","-22","-110","3250000"
"Tyson Barrie","Colorado","Defense","64","13","25","38","902","899","3","4.7","7.2","14","-34","23","-15","667333"
"Gabriel Landeskog","Colorado","Left Wing","81","26","39","65","1107","1163","-56","3","4.8","-51","-32","27","-62","925000"
"Ryan Wilson","Colorado","Defense","28","0","6","6","301","383","-82","-3.2","-8","2","-72","-12","-32","2250000"
"Nate Guenin","Colorado","Defense","68","1","8","9","763","951","-188","-3.6","-6.6","-61","-146","19","-61","600000"
"Andre Benoit","Colorado","Defense","79","7","21","28","1036","1193","-157","-0.3","-0.9","-52","-138","33","-60","900000"
"Erik Johnson","Colorado","Defense","80","9","30","39","1280","1430","-150","0.8","1.1","-23","-151","24","-66","3750000"
"Cody McLeod","Colorado","Left Wing","71","5","8","13","434","599","-165","-5.6","-9.5","-65","-98","-2","-71","1150000"
"Matt Duchene","Colorado","Center","71","23","47","70","991","1023","-32","3.5","5.5","34","-91","25","-15","3500000"
"Brad Malone","Colorado","Center","32","3","2","5","135","197","-62","-5.3","-11.2","-29","-38","5","-19","373154"
"Marc-Andre Cliche","Colorado","Center","76","1","6","7","389","557","-168","-6.8","-9.6","-77","-89","-2","-41","537500"
"Pierre-Alexandre Parenteau","Colorado","Right Wing","55","14","19","33","724","731","-7","3.5","5.6","58","-100","35","-58","4000000"
