Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Dalton Prout","Columbus","Defense","49","2","4","6","635","642","-7","-1.1","-1.5","-20","5","8","20"
"Brandon Dubinsky","Columbus","Center","76","16","34","50","947","875","72","2.3","3","24","-18","66","74"
"Artem Anisimov","Columbus","Center","81","22","17","39","834","812","22","1.2","1","36","-60","46","3"
"Blake Comeau","Columbus","Left Wing","61","5","11","16","609","536","73","4.9","8","23","6","44","27"
"R.J. Umberger","Columbus","Center","74","18","16","34","755","865","-110","-4.3","-6.5","-38","-99","27","0"
"David Savard","Columbus","Defense","70","5","10","15","887","975","-88","-2.7","-4.2","-36","-106","54","5"
"Nikita Nikitin","Columbus","Defense","66","2","13","15","874","906","-32","-2","-2.7","-12","-72","52","45"
"Cam Atkinson","Columbus","Right Wing","79","21","19","40","926","888","38","2","2.8","20","-43","61","47"
"Mark Letestu","Columbus","Center","82","12","22","34","700","727","-27","-1.1","-1.3","-66","-3","42","7"
"Jared Boll","Columbus","Right Wing","28","1","1","2","134","196","-62","-8.3","-16.4","-20","-31","-11","-7"
"Fedor Tyutin","Columbus","Defense","69","4","22","26","924","960","-36","-0.6","-1.5","-44","-38","46","18"
"Nick Foligno","Columbus","Left Wing","70","18","21","39","839","795","44","1.8","2.4","60","-41","25","46"
"Marian Gaborik","Columbus","Right Wing","41","11","19","30","243","261","-18","-2","-3","-20","-12","14","-7"
"Nathan Horton","Columbus","Right Wing","36","5","14","19","458","420","38","1.2","3.1","8","10","20","12"
"Matt Calvert","Columbus","Left Wing","56","9","15","24","633","588","45","2.1","3","-19","13","51","45"
"Ryan Murray","Columbus","Defense","66","4","17","21","915","857","58","3.3","4.7","53","-32","37","23"
"Matt Frattin","Columbus","Right Wing","44","2","5","7","32","41","-9","-5.4","-9.9","-2","-3","-4","5"
"Boone Jenner","Columbus","Center","72","16","13","29","842","833","9","0.3","0.5","-43","14","38","35"
"James Wisniewski","Columbus","Defense","75","7","44","51","1139","966","173","5.5","8.1","66","41","66","65"
"Ryan Johansen","Columbus","Center","82","33","30","63","996","973","23","0.9","1","29","-31","25","71"
"Jack Johnson","Columbus","Defense","82","5","28","33","1182","1282","-100","-3.1","-4","-69","-57","26","24"
"Derek MacKenzie","Columbus","Center","71","9","9","18","522","539","-17","-1.7","-2.3","-14","-26","23","1"
"Nick Schultz","Columbus","Defense","69","0","5","5","86","92","-6","-0.9","-2.4","-4","3","-5","2"
"Corey Tropp","Columbus","Right Wing","53","2","9","11","306","325","-19","-3.6","-6","-1","-26","8","0"
