Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Darren Helm","Detroit","Center","42","12","8","20","442","394","48","0.8","1.5","13","5","30","23","2125000"
"Justin Abdelkader","Detroit","Left Wing","70","10","18","28","822","798","24","-0.5","0.4","9","-14","29","40","1800000"
"Patrick Eaves","Detroit","Right Wing","30","2","3","5","207","205","2","-3.4","-4.6","-8","-16","26","12","0"
"Danny DeKeyser","Detroit","Defense","65","4","19","23","872","902","-30","-4.1","-6.3","-37","7","0","36","0"
"Jonathan Ericsson","Detroit","Defense","48","1","10","11","713","666","47","-0.1","0.8","7","0","40","40","3250000"
"Stephen Weiss","Detroit","Center","26","2","2","4","202","282","-80","-10.4","-15.5","-19","-61","0","-44","4900000"
"Daniel Cleary","Detroit","Right Wing","52","4","4","8","444","492","-48","-4.2","-6","0","-31","-17","-33","1750000"
"Riley Sheahan","Detroit","Center","42","9","15","24","480","374","106","4.8","8.5","10","45","51","71","378410"
"Pavel Datsyuk","Detroit","Center","45","17","20","37","635","505","130","3.8","5.6","26","72","32","55","6700000"
"Johan Franzen","Detroit","Right Wing","54","16","25","41","606","578","28","0.3","0.8","-27","34","21","54","3954545"
"Luke Glendening","Detroit","Center","56","1","6","7","449","520","-71","-6.5","-9.5","-30","-34","-7","-3","412821"
"Gustav Nyquist","Detroit","Right Wing","57","28","20","48","687","578","109","4.3","6.8","11","66","32","76","708077"
"Mikael Samuelsson","Detroit","Right Wing","26","1","2","3","156","150","6","1.7","2.3","7","-4","3","0","2992821"
"Tomas Jurco","Detroit","Right Wing","36","8","7","15","388","302","86","3.5","6.6","13","34","39","47","338218"
"Henrik Zetterberg","Detroit","Left Wing","45","16","32","48","654","574","80","3.7","5.2","28","41","11","40","6083333"
"Brian Lashoff","Detroit","Defense","75","1","5","6","742","733","9","-1.2","-1.5","22","-8","-5","17","725000"
"Brendan Smith","Detroit","Defense","71","5","14","19","1042","892","150","3.1","5.9","29","50","71","75","1262500"
"Niklas Kronwall","Detroit","Defense","79","8","41","49","1169","1083","86","0.8","1.7","-17","51","52","68","4750000"
"Jakub Kindl","Detroit","Defense","66","2","17","19","834","784","50","0.9","2.6","26","-11","35","-1","2400000"
"Joakim Andersson","Detroit","Center","65","8","9","17","579","580","-1","-1.5","-2.1","34","-14","-21","-5","732500"
"Daniel Alfredsson","Detroit","Right Wing","68","18","31","49","726","691","35","-0.5","-0.2","26","-17","26","7","3500000"
"Drew Miller","Detroit","Left Wing","82","7","8","15","684","717","-33","-3.3","-4.7","-17","-32","16","1","1350000"
"Kyle Quincey","Detroit","Defense","82","4","9","13","1166","1175","-9","-2.5","-3.3","-18","-8","17","41","3775000"
"Tomas Tatar","Detroit","Left Wing","73","19","20","39","810","632","178","5.8","10.2","50","74","54","93","630000"
"David Legwand","Detroit","Center","83","14","37","51","235","242","-7","-3.9","-5.2","-24","19","-2","11","923077"
"Todd Bertuzzi","Detroit","Right Wing","59","9","7","16","552","560","-8","-1.8","-2.6","-45","31","6","15","2075000"
