Pos.Position,2014 Cap Dollars
"Matt Hendricks","$844,359"
"CCenter","$8,725,000"
"LWLeft Wing","$14,491,859"
"Boyd Gordon","$3,000,000"
"Viktor Fasth","$609,744"
"Ben Scrivens","$251,026"
"Jordan Eberle","$6,000,000"
"Taylor Hall","$6,000,000"
"Sam Gagner","$4,800,000"
"GGoaltender","$860,770"
"David Perron","$3,812,500"
"Mark Fraser","$477,308"
"Ryan Nugent-Hopkins","$925,000"
"Philip Larsen","$892,179"
"Anton Belov","$920,256"
"Ryan Jones","$1,433,590"
"RWRight Wing","$8,358,590"
"Ryan Smyth","$2,250,000"
"Andrew Ference","$3,250,000"
"DDefenseman","$8,214,743"
"Justin Schultz","$925,000"
"Nail Yakupov","$925,000"
"Jesse Joensuu","$950,000"
"FForward","$31,575,449"
"Jeff Petry","$1,750,000"
"Luke Gazdic","$635,000"
