Pos.Position,2014 Cap Dollars
"Dylan Olsen","$499,795"
"Tomas Fleischmann","$4,500,000"
"Erik Gudbranson","$900,000"
"Aleksander Barkov","$925,000"
"FForward","$20,309,118"
"Tom Gilbert","$900,000"
"Brandon Pirri","$136,350"
"Krystopher Barch","$750,000"
"GGoaltender","$1,137,777"
"Jonathan Huberdeau","$894,167"
"Dan Ellis","$184,615"
"Nick Bjugstad","$850,396"
"Jimmy Hayes","$503,205"
"Brian Campbell","$7,142,875"
"Sean Bergenheim","$2,750,000"
"Colby Robak","$110,769"
"Dmitry Kulikov","$2,500,000"
"RWRight Wing","$2,853,205"
"Tomas Kopecky","$3,000,000"
"Roberto Luongo","$953,162"
"Ed Jovanovski","$4,125,000"
"Brad Boyes","$1,000,000"
"Scott Gomez","$900,000"
"DDefenseman","$16,443,439"
"Alex Petrovic","$265,000"
"Scottie Upshall","$3,500,000"
"LWLeft Wing","$14,780,517"
"CCenter","$2,675,396"
"Jesse Winchester","$600,000"
