Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Tyler Toffoli","Los Angeles","Center","62","12","17","29","740","487","253","4.2","9.9","103","63","87","75"
"Daniel Carcillo","Los Angeles","Left Wing","57","4","1","5","243","207","36","-1.4","0.4","16","7","13","25"
"Matt Frattin","Los Angeles","Right Wing","44","2","5","7","392","339","53","-5.8","-7.4","-2","19","36","8"
"Robyn Regehr","Los Angeles","Defense","79","3","11","14","1158","1010","148","-5","-7.1","81","55","12","10"
"Dwight King","Los Angeles","Left Wing","77","15","15","30","1086","771","315","2.1","7.3","156","67","92","53"
"Marian Gaborik","Los Angeles","Right Wing","41","11","19","30","293","194","99","2.6","4.7","27","33","39","56"
"Tanner Pearson","Los Angeles","Left Wing","25","3","4","7","247","202","45","-1.5","1","9","36","0","8"
"Dustin Brown","Los Angeles","Right Wing","79","15","12","27","1037","755","282","1.7","4.5","136","90","56","48"
"Anze Kopitar","Los Angeles","Center","82","29","41","70","1319","844","475","6.1","8.6","220","102","153","175"
"Mike Richards","Los Angeles","Center","82","11","30","41","960","803","157","-3.2","-5.2","105","-11","63","28"
"Matt Greene","Los Angeles","Defense","38","2","4","6","506","362","144","1.2","3.3","63","12","69","49"
"Justin Williams","Los Angeles","Right Wing","82","19","24","43","1194","772","422","5.5","10.2","190","116","116","148"
"Jordan Nolan","Los Angeles","Center","64","6","4","10","504","445","59","-3.8","-3.9","24","7","28","4"
"Jake Muzzin","Los Angeles","Defense","76","5","19","24","1269","810","459","6.2","12","234","68","157","114"
"Jarret Stoll","Los Angeles","Center","78","8","19","27","885","700","185","-1.2","-2","75","79","31","16"
"Colin Fraser","Los Angeles","Center","33","0","2","2","237","219","18","-6.6","-9.4","8","-8","18","3"
"Alec Martinez","Los Angeles","Defense","61","11","11","22","761","596","165","-0.6","0.4","49","61","55","51"
"Jeff Carter","Los Angeles","Center","72","27","23","50","1050","804","246","0","-0.2","159","42","45","34"
"Willie Mitchell","Los Angeles","Defense","76","1","11","12","1237","988","249","-1.9","-1.3","104","71","74","94"
"Slava Voynov","Los Angeles","Defense","82","4","30","34","1352","1104","248","-2.7","-3.9","121","60","67","41"
"Kyle Clifford","Los Angeles","Left Wing","71","3","5","8","609","522","87","-3.6","-3.8","48","-8","47","22"
"Trevor Lewis","Los Angeles","Center","73","6","5","11","714","627","87","-5.1","-7.6","26","22","39","49"
"Drew Doughty","Los Angeles","Defense","78","10","27","37","1458","1038","420","2.8","3.6","194","99","127","113"
