Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Cody McCormick","Minnesota","Center","43","2","5","7","60","99","-39","-12.9","-17.1","-13","-25","-1","-24","246154"
"Matt Cooke","Minnesota","Left Wing","82","10","18","28","755","912","-157","-4.7","-7.5","-63","-74","-20","-64","2500000"
"Jason Pominville","Minnesota","Right Wing","82","30","30","60","1025","910","115","6","8.5","31","-20","104","38","4505000"
"Marco Scandella","Minnesota","Defense","76","3","14","17","1001","1022","-21","1.3","1.1","-62","-12","53","14","1025000"
"Jason Zucker","Minnesota","Left Wing","21","4","1","5","191","255","-64","-4.7","-11.1","-48","-19","3","-15","470915"
"Justin Fontaine","Minnesota","Right Wing","66","13","8","21","538","631","-93","-3.6","-6.9","-70","-13","-10","-22","600000"
"Ryan Suter","Minnesota","Defense","82","8","35","43","1431","1514","-83","-0.3","-1.1","-57","-94","68","-43","7538462"
"Keith Ballard","Minnesota","Defense","45","2","7","9","399","471","-72","-2.8","-6.1","-53","-46","27","-10","1500000"
"Charlie Coyle","Minnesota","Center","70","12","18","30","811","851","-40","1.2","1","-62","-38","60","12","900000"
"Dany Heatley","Minnesota","Left Wing","76","12","16","28","693","862","-169","-5.8","-9","-89","-68","-12","-38","7500000"
"Jonas Brodin","Minnesota","Defense","79","8","11","19","1113","1258","-145","-3.2","-4.6","-82","-89","26","-37","894167"
"Nino Niederreiter","Minnesota","Right Wing","81","14","22","36","843","833","10","2.1","2.5","-12","-22","44","19","870000"
"Jared Spurgeon","Minnesota","Defense","67","5","21","26","1037","951","86","3.1","4.4","26","-17","77","24","2666667"
"Mikael Granlund","Minnesota","Center","63","8","33","41","702","747","-45","-1.1","-2.5","-7","-50","12","1","900000"
"Stephane Veilleux","Minnesota","Left Wing","34","3","0","3","152","223","-71","-9.3","-14.9","-33","-48","10","-7","277179"
"Kyle Brodziak","Minnesota","Center","81","8","16","24","747","954","-207","-6.5","-9.4","-73","-102","-32","-57","2833333"
"Nate Prosser","Minnesota","Defense","53","2","6","8","520","598","-78","-1.8","-4.1","-35","-48","5","-34","825000"
"Zenon Konopka","Minnesota","Center","59","1","2","3","171","181","-10","-2.8","-4.3","3","-35","22","-6","0"
"Matt Moulson","Minnesota","Left Wing","75","23","28","51","200","179","21","4.9","6.8","-1","1","21","9","642735"
"Zach Parise","Minnesota","Left Wing","67","29","27","56","961","778","183","9.2","14","28","38","117","51","7538462"
"Erik Haula","Minnesota","Center","46","6","9","15","317","338","-21","1.5","1.3","-33","-24","36","0","470769"
"Clayton Stoner","Minnesota","Defense","63","1","4","5","588","651","-63","-1.4","-3.5","-57","-51","45","14","1050000"
"Torrey Mitchell","Minnesota","Center","67","2","8","10","358","415","-57","-3.3","-5.8","-29","-59","31","6","0"
"Mikko Koivu","Minnesota","Center","65","11","43","54","902","706","196","8.8","12.6","25","59","112","52","6750000"
