Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Alex Galchenyuk","Montreal","Center","65","13","18","31","728","809","-81","0.6","-0.2","9","-106","16","-33","925000"
"Michael Bournival","Montreal","Left Wing","60","7","7","14","453","576","-123","-2.5","-6.9","-24","-83","-16","-16","660000"
"Brian Gionta","Montreal","Right Wing","81","18","22","40","941","1135","-194","-1.8","-4.1","-62","-122","-10","-53","5000000"
"Josh Gorges","Montreal","Defense","66","1","13","14","898","1091","-193","-2.3","-4.3","-61","-110","-22","-87","3900000"
"Andrei Markov","Montreal","Defense","81","7","36","43","1329","1356","-27","4.4","8.2","11","-64","26","-12","5750000"
"Travis Moen","Montreal","Left Wing","65","2","10","12","454","538","-84","-2","-3.7","-5","-40","-39","-18","1850000"
"Lars Eller","Montreal","Center","77","12","14","26","903","975","-72","1.7","2.5","10","-106","24","-27","1325000"
"Mike Weaver","Montreal","Defense","72","1","12","13","185","246","-61","-4.3","-8.3","-12","-42","-7","-32","231282"
"David Desharnais","Montreal","Center","79","16","36","52","1047","1032","15","4.8","7.7","-27","0","42","7","3500000"
"Dale Weise","Montreal","Right Wing","61","6","10","16","123","154","-31","-3.2","-6.8","2","-15","-18","-6","269231"
"George Parros","Montreal","Right Wing","22","0","1","1","47","128","-81","-21.7","-46.6","-21","-38","-22","-25","937500"
"Thomas Vanek","Montreal","Left Wing","78","27","41","68","220","254","-34","-0.2","-1.2","-32","-8","6","-19","1179487"
"Daniel Briere","Montreal","Center","69","13","12","25","666","749","-83","0.1","-0.7","-21","-71","9","-20","4000000"
"Raphael Diaz","Montreal","Defense","63","2","13","15","550","623","-73","0.1","0","-38","-35","0","-15","0"
"Ryan White","Montreal","Center","52","2","4","6","263","439","-176","-10.4","-18","-39","-71","-66","-42","700000"
"P.K. Subban","Montreal","Defense","82","10","43","53","1405","1415","-10","5.1","8.7","8","-45","27","-19","2875000"
"Jarred Tinordi","Montreal","Defense","22","0","2","2","239","224","15","1.9","2.8","12","-4","7","16","316769"
"Brandon Prust","Montreal","Left Wing","52","6","7","13","418","576","-158","-6.9","-13.2","-52","-64","-42","-54","2500000"
"Douglas Murray","Montreal","Defense","53","0","2","2","478","677","-199","-6.6","-12.7","-47","-106","-46","-81","1500000"
"Max Pacioretty","Montreal","Left Wing","73","39","21","60","997","931","66","7.5","12.9","-35","42","59","12","4500000"
"Rene Bourque","Montreal","Right Wing","63","9","7","16","672","815","-143","-1.7","-4.6","-29","-87","-27","-69","3333333"
"Alexei Emelin","Montreal","Defense","59","3","14","17","826","1031","-205","-2.3","-5.8","-68","-123","-14","-70","2000000"
"Francis Bouillon","Montreal","Defense","52","2","4","6","654","840","-186","-4.6","-10.1","-78","-95","-13","-11","1500000"
"Tomas Plekanec","Montreal","Center","81","20","23","43","955","1146","-191","-2","-3.2","-59","-124","-8","-65","5000000"
"Brendan Gallagher","Montreal","Right Wing","81","19","22","41","1104","1014","90","7.9","13.2","40","-26","76","17","685000"
