Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Ryan Strome","New York I.","Center","37","7","11","18","445","411","34","3.5","5.6","13","-26","47","12","371897"
"Matt Martin","New York I.","Left Wing","79","8","6","14","683","842","-159","-6.2","-11.2","-83","-49","-27","-59","1000000"
"Kyle Okposo","New York I.","Right Wing","71","27","42","69","1120","1118","2","1.5","2.1","-11","-18","31","-12","2800000"
"Calvin de Haan","New York I.","Defense","51","3","13","16","822","752","70","5.1","7.9","24","-44","90","26","611231"
"Thomas Hickey","New York I.","Defense","82","4","18","22","1219","1193","26","1.6","2","21","-21","26","26","675000"
"Matt Moulson","New York I.","Left Wing","75","23","28","51","130","159","-29","-2","-4","-9","-15","-5","-5","642735"
"John Tavares","New York I.","Center","59","24","42","66","957","970","-13","0.9","1.4","-19","-31","37","12","5500000"
"Aaron Ness","New York I.","Defense","20","1","2","3","252","271","-19","0","-0.9","-6","-17","4","-9","0"
"Lubomir Visnovsky","New York I.","Defense","24","3","8","11","366","317","49","7.4","12","7","29","13","12","4750000"
"Casey Cizikas","New York I.","Center","80","6","10","16","643","790","-147","-6.1","-9.2","-74","-45","-28","-51","793333"
"Frans Nielsen","New York I.","Center","80","25","33","58","867","844","23","1.5","1.9","30","-37","30","-34","2750000"
"Michael Grabner","New York I.","Right Wing","64","12","14","26","652","635","17","2.1","3.1","3","12","2","-7","3000000"
"Mike Halmo","New York I.","Left Wing","20","1","0","1","158","138","20","3","6.3","-1","14","7","9","203855"
"Colin McDonald","New York I.","Right Wing","70","8","10","18","681","764","-83","-3.1","-5.7","-9","-75","1","-14","637500"
"Josh Bailey","New York I.","Left Wing","77","8","30","38","925","839","86","3.9","6.2","45","6","35","31","3300000"
"Travis Hamonic","New York I.","Defense","69","3","15","18","1246","1237","9","1.4","2.3","3","-57","63","-27","3857143"
"Matt Donovan","New York I.","Defense","52","2","14","16","789","677","112","4.5","8.2","29","-7","90","19","601282"
"Eric Boulton","New York I.","Left Wing","23","2","2","4","98","168","-70","-13","-28.5","-23","-17","-30","-15","550000"
"Anders Lee","New York I.","Center","22","9","5","14","273","225","48","5.8","9.3","49","-22","21","17","226154"
"Brian Strait","New York I.","Defense","47","3","6","9","553","686","-133","-5.8","-9.5","-72","-34","-27","-45","775000"
"Thomas Vanek","New York I.","Left Wing","78","27","41","68","722","763","-41","-1","-2.6","-40","-29","28","-5","1179487"
"Peter Regin","New York I.","Center","61","4","7","11","440","408","32","3.2","5.7","-13","9","36","-7","126923"
"Pierre-Marc Bouchard","New York I.","Center","28","4","5","9","329","313","16","1.8","2.5","-4","9","11","-3","0"
"Andrew MacDonald","New York I.","Defense","82","4","24","28","916","1185","-269","-8.6","-14.1","-138","-74","-57","-82","0"
"Matt Carkner","New York I.","Defense","53","0","3","3","601","616","-15","-0.6","-1.4","38","-32","-21","2","1500000"
"Cal Clutterbuck","New York I.","Right Wing","73","12","7","19","728","763","-35","-0.9","-2","-15","-30","10","-24","2750000"
"Brock Nelson","New York I.","Center","72","14","12","26","772","671","101","4.9","7.9","49","-25","77","18","900000"
