Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Derek Stepan","New York R.","Center","82","17","40","57","1131","996","135","1.1","2.5","101","7","27","-3","3075000"
"Carl Hagelin","New York R.","Left Wing","72","17","16","33","996","833","163","2.4","5.8","89","-27","101","37","2250000"
"Mats Zuccarello","New York R.","Right Wing","77","19","40","59","967","829","138","2.2","4.3","83","17","38","-14","1150000"
"Justin Falk","New York R.","Defense","21","0","2","2","189","229","-40","-7.7","-13.6","6","-23","-23","-10","975000"
"Dominic Moore","New York R.","Center","73","6","12","18","599","645","-46","-5","-8.2","40","-95","9","3","1000000"
"Kevin Klein","New York R.","Defense","77","2","7","9","403","394","9","-4","-5.8","32","-26","3","6","1219487"
"Brad Richards","New York R.","Center","82","20","31","51","1240","1053","187","2.4","5.3","138","-42","91","20","6666667"
"Derek Dorsett","New York R.","Right Wing","51","4","4","8","453","444","9","-3.8","-6","6","-18","21","13","1633333"
"Martin St. Louis","New York R.","Right Wing","81","30","39","69","258","239","19","-2.6","-4.8","21","-16","14","6","1153846"
"Brian Boyle","New York R.","Center","82","6","12","18","691","781","-90","-6.8","-11.2","-45","-68","23","2","1700000"
"Derick Brassard","New York R.","Center","81","18","27","45","968","838","130","1.7","3.1","59","16","55","14","3200000"
"Anton Stralman","New York R.","Defense","81","1","12","13","1377","1059","318","5.9","11.1","170","0","148","103","1700000"
"Chris Kreider","New York R.","Left Wing","66","17","20","37","933","757","176","3.6","8.2","113","25","38","0","722051"
"Daniel Carcillo","New York R.","Left Wing","57","4","1","5","229","251","-22","-5","-8.8","10","-32","0","3","423077"
"Ryan McDonagh","New York R.","Defense","77","14","29","43","1370","1305","65","-1.8","-3","53","-28","40","-27","4700000"
"Raphael Diaz","New York R.","Defense","63","2","13","15","142","103","39","4.5","9","19","7","13","23","251282"
"Benoit Pouliot","New York R.","Left Wing","80","15","21","36","869","710","159","3.3","5.9","66","8","85","36","1300000"
"Dan Girardi","New York R.","Defense","81","5","19","24","1350","1353","-3","-3.9","-6.1","41","-63","19","-25","3325000"
"Marc Staal","New York R.","Defense","72","3","11","14","1225","1027","198","3.4","7","147","-24","75","54","3975000"
"Rick Nash","New York R.","Left Wing","65","26","13","39","956","808","148","2.6","6","102","3","43","54","7800000"
"Michael Del Zotto","New York R.","Defense","67","3","13","16","620","594","26","-1.7","-1.9","0","-11","37","10","1072308"
"John Moore","New York R.","Defense","74","4","11","15","969","915","54","-1.1","-1.1","24","-33","63","-10","840000"
