Pos.Position,2014 Cap Dollars
"Henrik Lundqvist","$6,875,000"
"CCenter","$15,641,667"
"Derek Dorsett","$1,633,333"
"Derick Brassard","$3,200,000"
"John Moore","$840,000"
"Jesper Fast","$140,359"
"Ryan McDonagh","$4,700,000"
"Chris Kreider","$722,051"
"Marc Staal","$3,975,000"
"Brian Boyle","$1,700,000"
"Daniel Carcillo","$423,077"
"RWRight Wing","$4,210,359"
"Cameron Talbot","$513,462"
"Anton Stralman","$1,700,000"
"Benoit Pouliot","$1,300,000"
"Dominic Moore","$1,000,000"
"FForward","$32,347,154"
"GGoaltender","$7,388,462"
"Kevin Klein","$1,219,487"
"Carl Hagelin","$2,250,000"
"Ryan Haggerty","$132,821"
"LWLeft Wing","$12,495,128"
"Derek Stepan","$3,075,000"
"DDefenseman","$16,985,769"
"Justin Falk","$975,000"
"Brad Richards","$6,666,667"
"Dan Girardi","$3,325,000"
"Rick Nash","$7,800,000"
"Mats Zuccarello-Aasen","$1,150,000"
"Martin St. Louis","$1,153,846"
"Raphael Diaz","$251,282"
