Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Erik Karlsson","Ottawa","Defense","82","20","54","74","1815","1498","317","4.2","7.6","133","28","156","75"
"Joe Corvo","Ottawa","Defense","25","3","7","10","366","335","31","-1.3","-1.8","6","16","9","-9"
"Patrick Wiercioch","Ottawa","Defense","53","4","19","23","722","640","82","0.8","2.7","45","-28","65","30"
"Jason Spezza","Ottawa","Center","75","23","43","66","1066","975","91","-0.3","0","81","-33","43","42"
"Chris Phillips","Ottawa","Defense","70","1","14","15","979","913","66","-2","-3.1","-3","-40","109","47"
"Colin Greening","Ottawa","Left Wing","76","6","11","17","862","831","31","-1.7","-2.2","-20","1","50","17"
"Derek Grant","Ottawa","Center","20","0","2","2","145","122","23","4.9","8.2","9","15","-1","15"
"Eric Gryba","Ottawa","Defense","57","2","9","11","733","705","28","-2.4","-4.3","-24","-17","69","20"
"Jared Cowen","Ottawa","Defense","68","6","9","15","1134","1096","38","-1.2","-1.4","22","-23","39","30"
"Marc Methot","Ottawa","Defense","75","6","17","23","1341","1224","117","0.4","1.3","55","-5","67","30"
"Erik Condra","Ottawa","Right Wing","76","6","10","16","718","616","102","1.3","2.9","28","15","59","47"
"Cody Ceci","Ottawa","Defense","49","3","6","9","659","632","27","-2.9","-5.1","-9","-23","59","44"
"Mika Zibanejad","Ottawa","Center","69","16","17","33","830","715","115","1.8","4","25","4","86","52"
"Chris Neil","Ottawa","Right Wing","76","8","6","14","802","778","24","-2.1","-2.4","-36","3","57","-6"
"Clarke MacArthur","Ottawa","Left Wing","79","24","31","55","1086","923","163","2.2","4","73","-19","109","52"
"Ales Hemsky","Ottawa","Right Wing","75","13","30","43","297","244","53","1.8","5.2","31","-9","31","40"
"Kyle Turris","Ottawa","Center","82","26","32","58","1199","1070","129","0.6","1","41","-11","99","42"
"Milan Michalek","Ottawa","Left Wing","82","17","22","39","1108","1026","82","-0.7","-0.6","70","-14","26","56"
"Mike Hoffman","Ottawa","Left Wing","25","3","3","6","300","237","63","1.2","3.5","4","1","58","0"
"Matt Kassian","Ottawa","Left Wing","33","1","1","2","131","146","-15","-4.7","-9.2","-11","-8","4","8"
"Jean-Gabriel Pageau","Ottawa","Center","28","2","0","2","216","205","11","-1.4","-2.7","1","8","2","2"
"Bobby Ryan","Ottawa","Right Wing","70","23","25","48","968","929","39","-1.6","-2","3","-46","82","-19"
"Zack Smith","Ottawa","Center","82","13","9","22","1035","1019","16","-2.8","-4.3","-38","-39","93","-15"
"Cory Conacher","Ottawa","Center","79","7","19","26","631","556","75","1.6","4.1","18","15","42","56"
