Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Evgeni Malkin","Pittsburgh","Center","60","23","49","72","857","762","95","5.7","8.7","48","-5","52","60","8700000"
"Tanner Glass","Pittsburgh","Left Wing","67","4","9","13","422","650","-228","-11.7","-18.3","-56","-100","-72","-99","1100000"
"Matt D'Agostini","Pittsburgh","Right Wing","57","5","7","12","70","50","20","6.6","11.2","10","2","8","11","389231"
"Rob Scuderi","Pittsburgh","Defense","53","0","4","4","664","846","-182","-6.3","-10.9","-42","-79","-61","-44","3375000"
"Beau Bennett","Pittsburgh","Right Wing","21","3","4","7","246","180","66","7.9","13.6","35","9","22","22","895385"
"Pascal Dupuis","Pittsburgh","Right Wing","39","7","13","20","585","506","79","4.6","7.9","43","7","29","41","0"
"Jussi Jokinen","Pittsburgh","Left Wing","81","21","36","57","1018","841","177","8.5","14.4","103","-1","75","68","2100000"
"Jayson Megna","Pittsburgh","Center","36","5","4","9","275","332","-57","-3.2","-7.1","-24","-21","-12","-5","559744"
"Marcel Goc","Pittsburgh","Center","74","11","14","25","76","129","-53","-11.4","-18.5","-17","-17","-19","-14","348718"
"Craig Adams","Pittsburgh","Right Wing","82","5","6","11","482","693","-211","-9.2","-12.4","-60","-91","-60","-74","700000"
"Chris Kunitz","Pittsburgh","Left Wing","78","35","33","68","1114","1018","96","5.3","7.9","38","31","27","64","3725000"
"Lee Stempniak","Pittsburgh","Right Wing","73","12","22","34","230","277","-47","-3.5","-7.3","4","-13","-38","-12","512821"
"Olli Maatta","Pittsburgh","Defense","78","9","20","29","1081","1056","25","3","4","47","-66","44","9","894167"
"Zach Sill","Pittsburgh","Center","20","0","0","0","94","183","-89","-14.6","-22.7","-26","-27","-36","-37","0"
"Brandon Sutter","Pittsburgh","Center","81","13","13","26","672","893","-221","-7.4","-10.4","-55","-143","-23","-93","2066667"
"Chuck Kobasew","Pittsburgh","Right Wing","33","2","0","2","241","293","-52","-3.6","-6.4","-9","-39","-4","-13","437179"
"Brian Gibbons","Pittsburgh","Center","41","5","12","17","372","358","14","3.3","4.7","2","-2","14","9","313077"
"Joe Vitale","Pittsburgh","Center","53","1","13","14","395","495","-100","-5.5","-10.3","-19","-40","-41","-52","550000"
"Kris Letang","Pittsburgh","Defense","37","11","11","22","564","590","-26","-1.4","-1.7","24","-54","4","-22","3500000"
"Taylor Pyatt","Pittsburgh","Left Wing","56","4","1","5","255","348","-93","-6.3","-13.1","-37","-46","-10","-20","810769"
"Simon Despres","Pittsburgh","Defense","34","0","5","5","457","426","31","6","9.3","17","-1","15","20","426462"
"Dustin Jeffrey","Pittsburgh","Center","34","2","2","4","73","73","0","-2.3","-3","-6","10","-4","-4","310897"
"Brooks Orpik","Pittsburgh","Defense","72","2","11","13","980","1141","-161","-4.2","-6.3","-39","-91","-31","-57","3750000"
"Matt Niskanen","Pittsburgh","Defense","81","10","36","46","1246","1085","161","7.3","11.6","83","37","41","59","2300000"
"James Neal","Pittsburgh","Left Wing","59","27","34","61","860","693","167","10","16.2","93","12","62","53","5000000"
"Paul Martin","Pittsburgh","Defense","39","3","12","15","547","564","-17","-2.5","-4.1","6","-32","9","-5","5000000"
"Sidney Crosby","Pittsburgh","Center","80","36","68","104","1288","1139","149","7","11.1","74","36","39","75","8700000"
"Robert Bortuzzo","Pittsburgh","Defense","54","0","10","10","591","710","-119","-3.8","-7.5","-19","-87","-13","-15","600000"
"Deryk Engelland","Pittsburgh","Defense","56","6","6","12","504","644","-140","-5.1","-10.5","-64","-39","-37","-30","566667"
