Position,2014 Cap Dollars
"Mark Fistric","$900,000"
"Andrew Cogliano","$2,390,000"
"Emerson Etem","$870,000"
"Stephane Robidas","$693,846"
"Francois Beauchemin","$3,500,000"
"John Kurtz","$2,923"
"Corey Perry","$8,625,000"
"Bryan Allen","$3,500,000"
"Kyle Palmieri","$1,466,667"
"Cam Fowler","$4,000,000"
"Sami Vatanen","$587,744"
"Ryan Getzlaf","$8,250,000"
"Teemu Selanne","$2,000,000"
"Patrick Maroon","$575,000"
"Jonas Hiller","$4,500,000"
"Matt Beleskey","$1,350,000"
"Daniel Winnik","$1,800,000"
"Mathieu Perreault","$1,050,000"
"Frederik Andersen","$777,949"
"Devante Smith-Pelly","$209,692"
"Jakob Silfverberg","$863,333"
"Luca Sbisa","$2,175,000"
"Tim Jackman","$449,167"
"Saku Koivu","$2,500,000"
"Ben Lovejoy","$1,100,000"
"Nick Bonino","$700,000"
"John Gibson","$66,615"
"Hampus Lindholm","$894,166"
