Position,2014 Cap Dollars
"Sergei Bobrovsky","$5,625,000"
"David Savard","$709,275"
"Derek MacKenzie","$1,000,000"
"Jack Skille","$252,692"
"Jack Johnson","$4,357,143"
"Matt Frattin","$89,744"
"Mark Letestu","$1,250,000"
"Boone Jenner","$778,333"
"Nick Schultz","$358,974"
"Jared Boll","$1,050,000"
"Corey Tropp","$405,731"
"Dalton Prout","$553,846"
"Fedor Tyutin","$4,500,000"
"Curtis McElhinney","$600,000"
"Ryan Johansen","$870,000"
"Nikita Nikitin","$2,150,000"
"Nathan Horton","$5,300,000"
"Cameron Atkinson","$1,150,000"
"Ryan Craig","$375,385"
"R.J. Umberger","$4,600,000"
"Matt Calvert","$987,500"
"Artem Anisimov","$3,283,333"
"Nick Foligno","$3,083,333"
"James Wisniewski","$5,500,000"
"Ryan Murray","$894,167"
"Blake Comeau","$1,000,000"
"Brandon Dubinsky","$4,200,000"
