Position,2014 Cap Dollars
"Drew Miller","$1,350,000"
"Brian Lashoff","$725,000"
"Johan Franzen","$3,954,545"
"Kyle Quincey","$3,775,000"
"Jakub Kindl","$2,400,000"
"Ryan Sproul","$9,538"
"Joakim Andersson","$732,500"
"Brendan Smith","$1,262,500"
"Riley Sheahan","$378,410"
"Henrik Zetterberg","$6,083,333"
"David Legwand","$923,077"
"Xavier Ouellet","$37,795"
"Todd Bertuzzi","$2,075,000"
"Darren Helm","$2,125,000"
"Stephen Weiss","$4,900,000"
"Tomas Tatar","$630,000"
"Justin Abdelkader","$1,800,000"
"FForward","$41,353,802"
"Daniel Alfredsson","$3,500,000"
"Jonathan Ericsson","$3,250,000"
"DDefenseman","$16,209,833"
"Pavel Datsyuk","$6,700,000"
"Niklas Kronwall","$4,750,000"
"Tomas Jurco","$338,218"
"CCenter","$16,171,808"
"Luke Glendening","$412,821"
"Mikael Samuelsson","$2,992,821"
"Gustav Nyquist","$708,077"
"Dan Cleary","$1,750,000"
"Jimmy Howard","$5,291,667"
"GGoaltender","$6,791,667"
"Jonas Gustavsson","$1,500,000"
"LWLeft Wing","$9,863,333"
"RWRight Wing","$15,318,661"
