Pos.Position,2014 Cap Dollars
"Drew Doughty","$7,000,000"
"Tanner Pearson","$335,842"
"Justin Williams","$3,650,000"
"GGoaltender","$6,152,564"
"Jeff Carter","$5,272,727"
"Slava Voynov","$4,166,667"
"Kyle Clifford","$1,075,000"
"Willie Mitchell","$3,500,000"
"DDefenseman","$22,716,667"
"Jonathan Quick","$5,800,000"
"Jarret Stoll","$3,250,000"
"Robyn Regehr","$3,000,000"
"CCenter","$21,072,727"
"FForward","$33,378,356"
"Mike Richards","$5,750,000"
"Jacob Muzzin","$1,000,000"
"Dustin Brown","$3,175,000"
"Martin Jones","$352,564"
"RWRight Wing","$8,050,556"
"Trevor Lewis","$1,325,000"
"Matt Greene","$2,950,000"
"Jordan Nolan","$700,000"
"LWLeft Wing","$4,255,073"
"Anze Kopitar","$6,800,000"
"Dwight King","$750,000"
"Alec Martinez","$1,100,000"
"Tyler Toffoli","$525,556"
