Pos.Position,2014 Cap Dollars
"Evgeni Nabokov","$3,250,000"
"Josh Bailey","$3,300,000"
"FForward","$24,987,874"
"DDefenseman","$13,496,451"
"Frans Nielsen","$2,750,000"
"GGoaltender","$3,665,385"
"RWRight Wing","$7,118,480"
"Travis Hamonic","$3,857,143"
"Mike Halmo","$203,855"
"Eric Boulton","$550,000"
"LWLeft Wing","$7,807,599"
"Brian Strait","$775,000"
"CCenter","$10,061,795"
"Thomas Hickey","$675,000"
"Casey Cizikas","$793,333"
"John Persson","$57,846"
"Matt Martin","$1,000,000"
"Calvin de Haan","$611,231"
"Justin Johnson","$9,083"
"Matt Carkner","$1,500,000"
"Kevin Czuczman","$151,795"
"Michael Grabner","$3,000,000"
"Brett Gallant","$19,744"
"Scott Mayfield","$42,692"
"Radek Martinek","$532,308"
"Brock Nelson","$900,000"
"Ryan Strome","$371,897"
"Johan Sundstrom","$118,462"
"Colin McDonald","$637,500"
"John Tavares","$5,500,000"
"Kyle Okposo","$2,800,000"
"Lubomir Visnovsky","$4,750,000"
"Anders Lee","$226,154"
"Matt Donovan","$601,282"
"Anders Nilsson","$415,385"
"Cal Clutterbuck","$2,750,000"
