Pos.Position,2014 Cap Dollars
"Mattias Ekholm","$900,000"
"DDefenseman","$16,261,118"
"CCenter","$11,178,436"
"FForward","$27,987,090"
"Mike Fisher","$4,200,000"
"Eric Nystrom","$2,500,000"
"Colin Wilson","$2,000,000"
"Matt Cullen","$3,500,000"
"Gabriel Bourque","$775,000"
"Victor Bartley","$666,667"
"Craig Smith","$2,000,000"
"Nick Spaling","$1,500,000"
"Viktor Stalberg","$3,000,000"
"Paul Gaustad","$3,250,000"
"Roman Josi","$4,000,000"
"LWLeft Wing","$10,312,500"
"Patrick Eaves","$246,154"
"Colton Sissons","$136,769"
"Ryan Ellis","$840,000"
"Calle Jarnkrok","$91,667"
"RWRight Wing","$6,496,154"
"Pekka Rinne","$7,000,000"
"GGoaltender","$7,550,000"
"Seth Jones","$925,000"
"Patric Hornqvist","$4,250,000"
"Michael Del Zotto","$1,072,308"
"Richard Clune","$537,500"
"Carter Hutton","$550,000"
"Shea Weber","$7,857,143"
