Pos.Position,2014 Cap Dollars
"Stephen Gionta","$562,500"
"Jon Merrill","$624,615"
"LWLeft Wing","$10,560,256"
"Bryce Salvador","$3,166,667"
"Ryan Carter","$775,000"
"Damien Brunner","$2,500,000"
"Tuomo Ruutu","$779,487"
"Marek Zidlicky","$3,000,000"
"Travis Zajac","$5,750,000"
"Dainius Zubrus","$3,100,000"
"Cory Schneider","$4,000,000"
"Patrick Elias","$5,500,000"
"RWRight Wing","$12,513,654"
"Peter Harrold","$800,000"
"Anton Volchenkov","$4,250,000"
"Andy Greene","$3,000,000"
"Martin Brodeur","$4,500,000"
"FForward","$35,048,910"
"Michael Ryder","$3,500,000"
"Mark Fayne","$1,300,000"
"Jaromir Jagr","$2,000,000"
"CCenter","$11,975,000"
"DDefenseman","$16,682,051"
"Tim Sestito","$155,769"
"Mike Sislo","$76,154"
"GGoaltender","$8,500,000"
"Adam Henrique","$4,000,000"
"Steve Bernier","$775,000"
"Adam Larsson","$540,769"
"Jacob Josefson","$725,000"
"Ryane Clowe","$4,850,000"
