Pos.Position,2014 Cap Dollars
"Wayne Simmonds","$3,975,000"
"Jay Rosehill","$675,000"
"Erik Gustafsson","$1,000,000"
"Zac Rinaldo","$750,000"
"Mark Streit","$5,250,000"
"Vincent Lecavalier","$4,500,000"
"Steve Mason","$1,500,000"
"Claude Giroux","$3,750,000"
"Scott Hartnell","$4,750,000"
"Jakub Voracek","$4,250,000"
"Tye McGinn","$174,872"
"Sean Couturier","$925,000"
"Ray Emery","$1,650,000"
"Kimmo Timonen","$6,000,000"
"DDefenseman","$24,662,051"
"Nicklas Grossman","$3,500,000"
"Steve Downie","$2,242,308"
"Jason Akeson","$7,333"
"Adam Hall","$600,000"
"Brayden Schenn","$870,000"
"CCenter","$4,675,000"
"Hal Gill","$696,410"
"FForward","$29,117,308"
"LWLeft Wing","$7,967,667"
"GGoaltender","$3,206,269"
"Matt Read","$900,000"
"Andrew MacDonald","$115,641"
"RWRight Wing","$16,474,641"
"Michael Raffl","$747,795"
"Braydon Coburn","$4,500,000"
"Cal Heeter","$56,269"
"Luke Schenn","$3,600,000"
