Pos.Position,2014 Cap Dollars
"Joe Vitale","$550,000"
"Sidney Crosby","$8,700,000"
"Chuck Kobasew","$437,179"
"Brandon Sutter","$2,066,667"
"Tanner Glass","$1,100,000"
"Taylor Pyatt","$810,769"
"GGoaltender","$7,537,500"
"James Neal","$5,000,000"
"RWRight Wing","$7,858,462"
"LWLeft Wing","$7,817,564"
"Kris Letang","$3,500,000"
"Marc-Andre Fleury","$5,000,000"
"Matt Niskanen","$2,300,000"
"Jussi Jokinen","$2,100,000"
"Lee Stempniak","$512,821"
"Brooks Orpik","$3,750,000"
"Jayson Megna","$559,744"
"Chris Conner","$406,154"
"DDefenseman","$20,412,296"
"Craig Adams","$700,000"
"Evgeni Malkin","$8,700,000"
"FForward","$37,007,309"
"Jeff Zatkoff","$537,500"
"Tomas Vokoun","$2,000,000"
"Harry Zolnierczyk","$81,795"
"Beau Bennett","$895,385"
"Olli Maatta","$894,167"
"Marcel Goc","$348,718"
"Robert Bortuzzo","$600,000"
"Chris Kunitz","$3,725,000"
"Paul Martin","$5,000,000"
"Brian Gibbons","$313,077"
"Deryk Engelland","$566,667"
"CCenter","$21,331,283"
"Rob Scuderi","$3,375,000"
"Simon Despres","$426,462"
