Pos.Position,2014 Cap Dollars
"Adam Cracknell","$360,000"
"DDefenseman","$26,847,564"
"CCenter","$10,909,615"
"Carlo Colaiacovo","$425,897"
"Jay Bouwmeester","$6,680,000"
"Brian Elliott","$1,800,000"
"Vladimir Tarasenko","$900,000"
"GGoaltender","$2,953,846"
"Keith Aucoin","$9,615"
"Alex Pietrangelo","$6,500,000"
"Brenden Morrow","$1,500,000"
"David Backes","$4,500,000"
"Ryan Miller","$1,153,846"
"Chris Porter","$238,846"
"Patrik Berglund","$3,250,000"
"Jordan Leopold","$2,250,000"
"Alexander Steen","$3,362,500"
"Ian Cole","$825,000"
"Magnus Paajarvi-Svensson","$1,200,000"
"Steve Ott","$680,769"
"LWLeft Wing","$8,944,615"
"Vladimir Sobotka","$1,300,000"
"Jaden Schwartz","$830,000"
"Barret Jackman","$3,166,667"
"T.J. Oshie","$4,175,000"
"Roman Polak","$2,750,000"
"Dmitrij Jaskin","$772,500"
"FForward","$29,512,230"
"Ryan Reaves","$600,000"
"Derek Roy","$4,000,000"
"Cody Beach","$733,000"
"Kevin Shattenkirk","$4,250,000"
"Maxim Lapierre","$1,100,000"
"RWRight Wing","$9,658,000"
