Pos.Position,2014 Cap Dollars
"DDefenseman","$16,531,988"
"Troy Bodie","$433,846"
"Nikolai Kulemin","$2,800,000"
"Dave Bolland","$3,375,000"
"Jonathan Bernier","$2,900,000"
"Jake Gardiner","$875,000"
"Drew Macintyre","$55,385"
"FForward","$37,865,384"
"James Van Riemsdyk","$4,250,000"
"Philip Kessel","$5,400,000"
"Tyler Bozak","$4,200,000"
"Joffrey Lupul","$5,250,000"
"Cody Franson","$2,000,000"
"Paul Ranger","$1,000,000"
"CCenter","$11,975,000"
"Carter Ashton","$581,538"
"Mason Raymond","$1,000,000"
"Carl Gunnarsson","$3,150,000"
"Nazem Kadri","$2,900,000"
"RWRight Wing","$17,840,384"
"Morgan Rielly","$894,167"
"Colton Orr","$925,000"
"Jay McClement","$1,500,000"
"David Clarkson","$5,250,000"
"LWLeft Wing","$8,050,000"
"Tim Gleason","$2,112,821"
"James Reimer","$1,800,000"
"GGoaltender","$4,755,385"
"Dion Phaneuf","$6,500,000"
