Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Joe Thornton","San Jose","Center","82","11","65","76","1328","955","373","6.6","12.4","173","117","83","135"
"Patrick Marleau","San Jose","Left Wing","82","33","37","70","1239","1092","147","-0.6","-1.8","79","-4","72","62"
"Mike Brown","San Jose","Right Wing","56","2","3","5","267","295","-28","-6.3","-10.8","-18","-13","3","11"
"Brad Stuart","San Jose","Defense","61","3","8","11","984","936","48","-2.9","-4.5","32","-39","55","38"
"Brent Burns","San Jose","Defense","69","22","26","48","1112","833","279","4.7","10.4","114","84","81","101"
"Martin Havlat","San Jose","Left Wing","48","12","10","22","552","544","8","-3.5","-5.3","-17","-9","34","7"
"Scott Hannan","San Jose","Defense","56","3","9","12","792","787","5","-5.7","-9.7","-16","5","16","11"
"Jason Demers","San Jose","Defense","75","5","29","34","1227","1001","226","1.9","4.3","113","50","63","89"
"Joe Pavelski","San Jose","Center","82","41","38","79","1285","992","293","4.1","6.8","82","94","117","48"
"Bracken Kearns","San Jose","Left Wing","25","3","2","5","277","250","27","-0.6","-0.1","32","-7","2","0"
"John McCarthy","San Jose","Left Wing","36","1","1","2","301","312","-11","-5.6","-9.7","5","-24","8","-6"
"Dan Boyle","San Jose","Defense","75","12","24","36","1297","1150","147","-0.9","-1.5","75","-4","76","2"
"Justin Braun","San Jose","Defense","82","4","13","17","1408","1199","209","0.7","1.3","90","67","52","84"
"Matt Irwin","San Jose","Defense","62","2","17","19","974","967","7","-4.4","-6.6","29","-40","18","4"
"Tommy Wingels","San Jose","Center","77","16","22","38","1060","942","118","-0.7","-0.3","49","16","53","63"
"Logan Couture","San Jose","Center","65","23","31","54","933","810","123","0.1","0","69","8","46","30"
"Marc-Edouard Vlasic","San Jose","Defense","81","5","19","24","1503","1083","420","7","13","141","119","160","124"
"Andrew Desjardins","San Jose","Center","81","3","14","17","679","676","3","-4.1","-6.8","-10","-18","31","19"
"Matt Nieto","San Jose","Left Wing","66","10","14","24","829","766","63","-2.7","-3.9","23","-9","49","-5"
"James Sheppard","San Jose","Center","67","4","16","20","723","656","67","-0.9","-0.1","32","-15","50","17"
"Tomas Hertl","San Jose","Center","37","15","10","25","522","419","103","3.1","6.9","41","55","7","61"
"Tyler Kennedy","San Jose","Center","67","4","13","17","805","738","67","-1.7","-1.3","45","5","17","4"
