Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close
"Chris Stewart","St. Louis","Right Wing","63","15","11","26","574","611","-37","-5.3","-7.8","13","-62","12","-46"
"Brenden Morrow","St. Louis","Left Wing","71","13","12","25","604","641","-37","-5.7","-8.6","8","-43","-2","-29"
"T.J. Oshie","St. Louis","Right Wing","79","21","39","60","1032","863","169","1.7","2.8","55","67","47","67"
"Alex Pietrangelo","St. Louis","Defense","81","8","43","51","1466","1205","261","2.9","4.6","74","58","129","81"
"Ryan Reaves","St. Louis","Right Wing","63","2","6","8","388","457","-69","-9","-14.7","-21","-58","10","-21"
"Maxim Lapierre","St. Louis","Center","71","9","6","15","480","589","-109","-10","-15.3","-26","-62","-21","-41"
"Carlo Colaiacovo","St. Louis","Defense","25","1","3","4","301","280","21","-1.1","-0.7","11","-6","16","-13"
"Jordan Leopold","St. Louis","Defense","27","1","5","6","330","291","39","0.1","1.6","18","8","13","-15"
"Kevin Shattenkirk","St. Louis","Defense","81","10","35","45","1175","957","218","3.1","4.9","110","26","82","76"
"Steve Ott","St. Louis","Center","82","9","14","23","240","240","0","-5.9","-9","11","-20","9","8"
"David Backes","St. Louis","Center","74","27","30","57","1029","824","205","2.7","4.5","60","93","52","83"
"Barret Jackman","St. Louis","Defense","79","3","12","15","1026","918","108","-0.4","-0.4","69","-13","52","78"
"Chris Porter","St. Louis","Left Wing","22","0","1","1","171","187","-16","-4.2","-7.2","-14","-14","12","-11"
"Ian Cole","St. Louis","Defense","46","3","8","11","534","555","-21","-5.8","-8.8","-41","-23","43","11"
"Jaden Schwartz","St. Louis","Left Wing","80","25","31","56","1058","818","240","4.4","7.3","69","34","137","60"
"Jay Bouwmeester","St. Louis","Defense","82","4","33","37","1388","1191","197","1.1","2","58","31","108","61"
"Vladimir Tarasenko","St. Louis","Right Wing","64","21","22","43","844","609","235","7.4","13.5","73","41","121","89"
"Vladimir Sobotka","St. Louis","Left Wing","61","9","24","33","788","603","185","3.4","5.9","75","-8","118","44"
"Patrik Berglund","St. Louis","Center","78","14","18","32","931","772","159","2","3.6","44","24","91","70"
"Roman Polak","St. Louis","Defense","72","4","9","13","862","886","-24","-5.8","-8.1","-30","-29","35","-18"
"Alexander Steen","St. Louis","Left Wing","68","33","29","62","989","743","246","5.2","7.7","67","98","81","86"
"Magnus Paajarvi","St. Louis","Left Wing","55","6","6","12","483","426","57","1","3.1","4","31","22","38"
"Derek Roy","St. Louis","Center","75","9","28","37","726","672","54","-1.8","-1.8","26","-17","45","3"
