Player,Cur. Team,Pos,GP,G,A,P,SAT For,SAT Agst,SAT,SAT Rel%,SAT Rel60,SAT Tied,SAT Ahead,SAT Behind,SAT Close,Salary
"Tyler Johnson","Tampa Bay","Center","82","24","26","50","1011","971","40","0.1","0.6","43","-38","35","-4","756667"
"Ondrej Palat","Tampa Bay","Left Wing","81","23","36","59","1009","976","33","0","0.4","31","-19","21","-38","576197"
"Teddy Purcell","Tampa Bay","Right Wing","81","12","30","42","992","861","131","3.4","5.9","117","-20","34","44","4500000"
"Mark Barberio","Tampa Bay","Defense","49","5","5","10","634","564","70","2.4","5.9","50","8","12","-19","605000"
"Tom Pyatt","Tampa Bay","Center","27","3","4","7","239","254","-15","-2.1","-2.9","13","-19","-9","-44","600000"
"B.J. Crombeen","Tampa Bay","Right Wing","55","3","7","10","397","423","-26","-3","-4.8","11","-10","-27","-24","0"
"Ryan Malone","Tampa Bay","Left Wing","57","5","10","15","538","529","9","1.2","1.8","18","-21","12","-28","4500000"
"Eric Brewer","Tampa Bay","Defense","77","4","13","17","968","959","9","-0.8","-0.6","75","-51","-15","-32","3875000"
"Nate Thompson","Tampa Bay","Center","81","9","7","16","773","742","31","0","0.8","39","-33","25","-9","1600000"
"J.T. Brown","Tampa Bay","Right Wing","63","4","15","19","679","629","50","1","2.7","41","-26","35","11","685852"
"Nikita Kucherov","Tampa Bay","Right Wing","52","9","9","18","607","518","89","3","6.8","55","-15","49","55","514590"
"Martin St. Louis","Tampa Bay","Right Wing","81","30","39","69","895","898","-3","-1.1","-1.1","15","-44","26","-7","0"
"Victor Hedman","Tampa Bay","Defense","75","13","42","55","1188","1016","172","4.9","7.1","56","18","98","32","4000000"
"Sami Salo","Tampa Bay","Defense","71","4","13","17","833","769","64","1.3","2","60","-51","55","6","3750000"
"Michael Kostka","Tampa Bay","Defense","28","4","7","11","228","207","21","3.7","6.2","20","-15","16","5","0"
"Richard Panik","Tampa Bay","Right Wing","50","3","10","13","452","483","-31","-4.5","-6.9","18","-50","1","-42","588205"
"Andrej Sustr","Tampa Bay","Defense","43","1","7","8","530","521","9","-2","-2.2","24","-5","-10","-5","559744"
"Alex Killorn","Tampa Bay","Center","82","17","24","41","1058","988","70","1.1","2.1","83","-46","33","0","0"
"Steven Stamkos","Tampa Bay","Center","37","25","15","40","514","467","47","2.2","3.8","26","14","7","-4","7500000"
"Ryan Callahan","Tampa Bay","Right Wing","65","17","19","36","247","238","9","-1.4","-2.7","-15","-6","30","-12","876923"
"Valtteri Filppula","Tampa Bay","Center","75","25","33","58","1020","929","91","1.6","2.6","71","-55","75","16","5000000"
"Radko Gudas","Tampa Bay","Defense","73","3","19","22","1066","1107","-41","-3.3","-4.8","24","-85","20","-23","991667"
"Matthew Carle","Tampa Bay","Defense","82","2","29","31","1249","1361","-112","-4.9","-7.7","10","-151","29","-72","0"
